file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210807_Tvib300K_Trot300K.spec,52000.0,300.0,296.0,300.0,300.0,cython,20.0,fft,0.1168980598449707,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281336.596338,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003497600555419922, 'reinitialize': {'copy_database': 0.0009913444519042969, 'memory_usage_warning': 0.0019278526306152344, 'reset_population': 3.1948089599609375e-05, 'value': 0.00296783447265625}, 'scaled_eq_linestrength': 0.012043952941894531, 'calc_lineshift': 0.0010056495666503906, 'calc_hwhm': 0.014338493347167969, 'generate_wavenumber_arrays': 0.0016567707061767578, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.020752668380737305, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.0014634132385253906, 'DLM_Distribute_lines': 0.006050825119018555, 'DLM_convolve': 0.05283308029174805, 'value': 0.0818026065826416}, 'calc_other_spectral_quan': 0.002635955810546875, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2510.0,2000.0,1990.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_1.spec,54000.0,300.0,296.0,300.0,300.0,cython,40.0,fft,0.11428666114807129,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281336.9563384,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002446174621582031, 'reinitialize': {'copy_database': 0.0006794929504394531, 'memory_usage_warning': 0.0016884803771972656, 'reset_population': 3.147125244140625e-05, 'value': 0.0024149417877197266}, 'scaled_eq_linestrength': 0.006702899932861328, 'calc_lineshift': 0.0009610652923583984, 'calc_hwhm': 0.014535665512084961, 'generate_wavenumber_arrays': 0.0013852119445800781, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.022151470184326172, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0013539791107177734, 'DLM_Distribute_lines': 0.00668787956237793, 'DLM_convolve': 0.054334163665771484, 'value': 0.08522915840148926}, 'calc_other_spectral_quan': 0.0027163028717041016, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2520.0,2000.0,1980.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_2.spec,56000.0,300.0,296.0,300.0,300.0,cython,60.0,fft,0.3991396427154541,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281338.2363398,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002460479736328125, 'reinitialize': {'copy_database': 0.0005018711090087891, 'memory_usage_warning': 0.0012319087982177734, 'reset_population': 3.24249267578125e-05, 'value': 0.0017807483673095703}, 'scaled_eq_linestrength': 0.006362199783325195, 'calc_lineshift': 0.0007092952728271484, 'calc_hwhm': 0.013669013977050781, 'generate_wavenumber_arrays': 0.00189971923828125, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.0220644474029541, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.0017478466033935547, 'DLM_Distribute_lines': 0.006513118743896484, 'DLM_convolve': 0.3405270576477051, 'value': 0.37154388427734375}, 'calc_other_spectral_quan': 0.002805471420288086, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2530.0,2000.0,1970.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_3.spec,58000.0,300.0,296.0,300.0,300.0,cython,80.0,fft,0.4270598888397217,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281338.9083407,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00041747093200683594, 'reinitialize': {'copy_database': 0.0005710124969482422, 'memory_usage_warning': 0.001341104507446289, 'reset_population': 3.62396240234375e-05, 'value': 0.001966714859008789}, 'scaled_eq_linestrength': 0.008393526077270508, 'calc_lineshift': 0.0009138584136962891, 'calc_hwhm': 0.013383626937866211, 'generate_wavenumber_arrays': 0.0012767314910888672, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.020609378814697266, 'DLM_Initialized_vectors': 9.5367431640625e-06, 'DLM_closest_matching_line': 0.0013973712921142578, 'DLM_Distribute_lines': 0.0025854110717773438, 'DLM_convolve': 0.3713967800140381, 'value': 0.3982508182525635}, 'calc_other_spectral_quan': 0.0023550987243652344, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2540.0,2000.0,1960.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_4.spec,60000.0,300.0,296.0,300.0,300.0,cython,100.0,fft,0.5000653266906738,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281339.6643417,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002446174621582031, 'reinitialize': {'copy_database': 0.00046253204345703125, 'memory_usage_warning': 0.0012345314025878906, 'reset_population': 3.1948089599609375e-05, 'value': 0.0017440319061279297}, 'scaled_eq_linestrength': 0.006616830825805664, 'calc_lineshift': 0.0009152889251708984, 'calc_hwhm': 0.013108968734741211, 'generate_wavenumber_arrays': 0.0013763904571533203, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.02626776695251465, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.0013628005981445312, 'DLM_Distribute_lines': 0.00552821159362793, 'DLM_convolve': 0.43968772888183594, 'value': 0.4735410213470459}, 'calc_other_spectral_quan': 0.002424001693725586, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2550.0,2000.0,1950.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_5.spec,62000.0,300.0,296.0,300.0,300.0,cython,120.0,fft,0.544334888458252,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281340.4803426,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002722740173339844, 'reinitialize': {'copy_database': 0.0005006790161132812, 'memory_usage_warning': 0.0012717247009277344, 'reset_population': 3.337860107421875e-05, 'value': 0.0018219947814941406}, 'scaled_eq_linestrength': 0.0058231353759765625, 'calc_lineshift': 0.0007853507995605469, 'calc_hwhm': 0.017180919647216797, 'generate_wavenumber_arrays': 0.0023055076599121094, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.027341604232788086, 'DLM_Initialized_vectors': 1.3113021850585938e-05, 'DLM_closest_matching_line': 0.0022161006927490234, 'DLM_Distribute_lines': 0.005914211273193359, 'DLM_convolve': 0.4755535125732422, 'value': 0.5133986473083496}, 'calc_other_spectral_quan': 0.0026400089263916016, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2560.0,2000.0,1940.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_6.spec,64000.0,300.0,296.0,300.0,300.0,cython,140.0,fft,0.46247243881225586,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281341.1963434,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002484321594238281, 'reinitialize': {'copy_database': 0.00047016143798828125, 'memory_usage_warning': 0.0017278194427490234, 'reset_population': 3.7670135498046875e-05, 'value': 0.002254009246826172}, 'scaled_eq_linestrength': 0.007565498352050781, 'calc_lineshift': 0.001089334487915039, 'calc_hwhm': 0.012177467346191406, 'generate_wavenumber_arrays': 0.001291036605834961, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.0236051082611084, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0013055801391601562, 'DLM_Distribute_lines': 0.00580906867980957, 'DLM_convolve': 0.4039931297302246, 'value': 0.43538832664489746}, 'calc_other_spectral_quan': 0.0023598670959472656, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2570.0,2000.0,1930.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_7.spec,66000.0,300.0,296.0,300.0,300.0,cython,160.0,fft,0.5180261135101318,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281341.9603443,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.00023794174194335938, 'reinitialize': {'copy_database': 0.0005204677581787109, 'memory_usage_warning': 0.00119781494140625, 'reset_population': 3.0517578125e-05, 'value': 0.0017638206481933594}, 'scaled_eq_linestrength': 0.005815744400024414, 'calc_lineshift': 0.0008034706115722656, 'calc_hwhm': 0.013799428939819336, 'generate_wavenumber_arrays': 0.0022077560424804688, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.024024248123168945, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0020089149475097656, 'DLM_Distribute_lines': 0.0028793811798095703, 'DLM_convolve': 0.45905232429504395, 'value': 0.49040675163269043}, 'calc_other_spectral_quan': 0.0029022693634033203, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2580.0,2000.0,1920.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_8.spec,68000.0,300.0,296.0,300.0,300.0,cython,180.0,fft,0.18865513801574707,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281342.4043448,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002522468566894531, 'reinitialize': {'copy_database': 0.0004928112030029297, 'memory_usage_warning': 0.001323699951171875, 'reset_population': 3.409385681152344e-05, 'value': 0.0018668174743652344}, 'scaled_eq_linestrength': 0.006819009780883789, 'calc_lineshift': 0.0010097026824951172, 'calc_hwhm': 0.01334381103515625, 'generate_wavenumber_arrays': 0.0014545917510986328, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.026292085647583008, 'DLM_Initialized_vectors': 9.775161743164062e-06, 'DLM_closest_matching_line': 0.001348733901977539, 'DLM_Distribute_lines': 0.007828235626220703, 'DLM_convolve': 0.1251537799835205, 'value': 0.1613471508026123}, 'calc_other_spectral_quan': 0.0024602413177490234, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2590.0,2000.0,1910.0,cm-1,0.01,52002.0
20210807_Tvib300K_Trot300K_9.spec,70000.0,300.0,296.0,300.0,300.0,cython,200.0,fft,0.5995841026306152,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628281343.2523458,radis,23458.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003075599670410156, 'reinitialize': {'copy_database': 0.0005400180816650391, 'memory_usage_warning': 0.0013895034790039062, 'reset_population': 3.6716461181640625e-05, 'value': 0.0019826889038085938}, 'scaled_eq_linestrength': 0.006613254547119141, 'calc_lineshift': 0.0010175704956054688, 'calc_hwhm': 0.015592336654663086, 'generate_wavenumber_arrays': 0.001363515853881836, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.02871417999267578, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0014185905456542969, 'DLM_Distribute_lines': 0.006325721740722656, 'DLM_convolve': 0.5330655574798584, 'value': 0.5702371597290039}, 'calc_other_spectral_quan': 0.0023648738861083984, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,23458.0,boltzmann,4.0,5.0,0.01,0.01,2500.0,2600.0,2000.0,1900.0,cm-1,0.01,52002.0
