file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210808_Tvib300K_Trot300K.spec,230000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,4.5745415687561035,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362517.078929,radis,115755.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_4000_115755_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003066062927246094, 'reinitialize': {'copy_database': 0.0060427188873291016, 'memory_usage_warning': 0.0023040771484375, 'reset_population': 3.218650817871094e-05, 'value': 0.008397817611694336}, 'scaled_eq_linestrength': 0.01041102409362793, 'calc_lineshift': 0.0013260841369628906, 'calc_hwhm': 0.017279386520385742, 'generate_wavenumber_arrays': 0.004635810852050781, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.18270039558410645, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.007558584213256836, 'DLM_Distribute_lines': 0.04679107666015625, 'DLM_convolve': 4.283607482910156, 'value': 4.524123191833496}, 'calc_other_spectral_quan': 0.007950544357299805, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,115755.0,boltzmann,8.0,5.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210808_Tvib300K_Trot300K_1.spec,230000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,0.6355733871459961,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362518.3829203,radis,115755.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_4000_115755_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0004010200500488281, 'reinitialize': {'copy_database': 0.013235330581665039, 'memory_usage_warning': 0.0015218257904052734, 'reset_population': 3.0279159545898438e-05, 'value': 0.014806747436523438}, 'scaled_eq_linestrength': 0.00892329216003418, 'calc_lineshift': 0.0010364055633544922, 'calc_hwhm': 0.022490262985229492, 'generate_wavenumber_arrays': 0.0041425228118896484, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.055536508560180664, 'DLM_Initialized_vectors': 1.2874603271484375e-05, 'DLM_closest_matching_line': 0.007373332977294922, 'DLM_Distribute_lines': 0.04717087745666504, 'DLM_convolve': 0.4618721008300781, 'value': 0.575502872467041}, 'calc_other_spectral_quan': 0.008170843124389648, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,115755.0,boltzmann,8.0,5.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210808_Tvib300K_Trot300K_2.spec,430000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,2.5903115272521973,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362523.2588847,radis,210572.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_6000_210572_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002453327178955078, 'reinitialize': {'copy_database': 0.009823799133300781, 'memory_usage_warning': 0.0015883445739746094, 'reset_population': 3.147125244140625e-05, 'value': 0.011461496353149414}, 'scaled_eq_linestrength': 0.011281967163085938, 'calc_lineshift': 0.00118255615234375, 'calc_hwhm': 0.024168968200683594, 'generate_wavenumber_arrays': 0.008746623992919922, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.46643781661987305, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.013088226318359375, 'DLM_Distribute_lines': 0.11221432685852051, 'DLM_convolve': 1.917848825454712, 'value': 2.5179574489593506}, 'calc_other_spectral_quan': 0.015164375305175781, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,210572.0,boltzmann,11.0,5.0,0.01,0.01,6000.0,6150.0,2000.0,1850.0,cm-1,0.01,430001.0
20210808_Tvib300K_Trot300K_3.spec,430000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,1.5034265518188477,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362526.0708616,radis,210572.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_6000_210572_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003483295440673828, 'reinitialize': {'copy_database': 0.02192544937133789, 'memory_usage_warning': 0.0016067028045654297, 'reset_population': 3.147125244140625e-05, 'value': 0.02358245849609375}, 'scaled_eq_linestrength': 0.015230417251586914, 'calc_lineshift': 0.0011949539184570312, 'calc_hwhm': 0.02832508087158203, 'generate_wavenumber_arrays': 0.008004188537597656, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.07696151733398438, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.012019872665405273, 'DLM_Distribute_lines': 0.11237168312072754, 'DLM_convolve': 1.1941375732421875, 'value': 1.402794361114502}, 'calc_other_spectral_quan': 0.023839235305786133, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,210572.0,boltzmann,11.0,5.0,0.01,0.01,6000.0,6150.0,2000.0,1850.0,cm-1,0.01,430001.0
20210808_Tvib300K_Trot300K_4.spec,630000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,28.837400913238525,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362558.7024667,radis,301576.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_8000_301576_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002758502960205078, 'reinitialize': {'copy_database': 0.015095949172973633, 'memory_usage_warning': 0.0015897750854492188, 'reset_population': 8.273124694824219e-05, 'value': 0.01680469512939453}, 'scaled_eq_linestrength': 0.02169036865234375, 'calc_lineshift': 0.0013172626495361328, 'calc_hwhm': 0.030095338821411133, 'generate_wavenumber_arrays': 0.016948223114013672, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.9233381748199463, 'DLM_Initialized_vectors': 2.7894973754882812e-05, 'DLM_closest_matching_line': 0.025007009506225586, 'DLM_Distribute_lines': 0.21470141410827637, 'DLM_convolve': 27.548224449157715, 'value': 28.724740028381348}, 'calc_other_spectral_quan': 0.02540111541748047, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,301576.0,boltzmann,13.0,5.0,0.01,0.01,8000.0,8150.0,2000.0,1850.0,cm-1,0.01,630001.0
20210808_Tvib300K_Trot300K_5.spec,630000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,5.041471004486084,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362565.718353,radis,301576.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_8000_301576_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003590583801269531, 'reinitialize': {'copy_database': 0.03581500053405762, 'memory_usage_warning': 0.0016410350799560547, 'reset_population': 3.337860107421875e-05, 'value': 0.037508487701416016}, 'scaled_eq_linestrength': 0.019608020782470703, 'calc_lineshift': 0.0022542476654052734, 'calc_hwhm': 0.05054664611816406, 'generate_wavenumber_arrays': 0.014163017272949219, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.09866881370544434, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0206453800201416, 'DLM_Distribute_lines': 0.21256709098815918, 'DLM_convolve': 4.545077562332153, 'value': 4.88811182975769}, 'calc_other_spectral_quan': 0.028806209564208984, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,301576.0,boltzmann,13.0,5.0,0.01,0.01,8000.0,8150.0,2000.0,1850.0,cm-1,0.01,630001.0
20210808_Tvib300K_Trot300K_6.spec,830000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,18.983891248703003,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362589.2739027,radis,389355.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_10000_389355_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002684593200683594, 'reinitialize': {'copy_database': 0.019465208053588867, 'memory_usage_warning': 0.0015501976013183594, 'reset_population': 3.170967102050781e-05, 'value': 0.021065235137939453}, 'scaled_eq_linestrength': 0.01981043815612793, 'calc_lineshift': 0.0023393630981445312, 'calc_hwhm': 0.03453397750854492, 'generate_wavenumber_arrays': 0.016669273376464844, 'calc_line_broadening': {'precompute_DLM_lineshapes': 1.3385884761810303, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.025305986404418945, 'DLM_Distribute_lines': 0.2778654098510742, 'DLM_convolve': 17.189584255218506, 'value': 18.85510492324829}, 'calc_other_spectral_quan': 0.03398704528808594, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,389355.0,boltzmann,14.0,5.0,0.01,0.01,10000.0,10150.0,2000.0,1850.0,cm-1,0.01,830001.0
20210808_Tvib300K_Trot300K_7.spec,830000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,5.332520008087158,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362597.041732,radis,389355.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_10000_389355_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.000408172607421875, 'reinitialize': {'copy_database': 0.03585982322692871, 'memory_usage_warning': 0.0016083717346191406, 'reset_population': 3.266334533691406e-05, 'value': 0.037520647048950195}, 'scaled_eq_linestrength': 0.020524024963378906, 'calc_lineshift': 0.0020494461059570312, 'calc_hwhm': 0.05015373229980469, 'generate_wavenumber_arrays': 0.01898670196533203, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.10279965400695801, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.02652597427368164, 'DLM_Distribute_lines': 0.2713000774383545, 'DLM_convolve': 4.749122381210327, 'value': 5.166712522506714}, 'calc_other_spectral_quan': 0.036041975021362305, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,389355.0,boltzmann,14.0,5.0,0.01,0.01,10000.0,10150.0,2000.0,1850.0,cm-1,0.01,830001.0
20210808_Tvib300K_Trot300K_8.spec,1030000.0,300.0,296.0,300.0,300.0,cython,300.0,fft,36.17767906188965,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362638.7686448,radis,471366.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_12000_471366_fft,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0002434253692626953, 'reinitialize': {'copy_database': 0.025913476943969727, 'memory_usage_warning': 0.001550912857055664, 'reset_population': 3.3855438232421875e-05, 'value': 0.027549266815185547}, 'scaled_eq_linestrength': 0.023593902587890625, 'calc_lineshift': 0.002069711685180664, 'calc_hwhm': 0.04236936569213867, 'generate_wavenumber_arrays': 0.025920391082763672, 'calc_line_broadening': {'precompute_DLM_lineshapes': 2.0398223400115967, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.03431057929992676, 'DLM_Distribute_lines': 0.38538169860839844, 'DLM_convolve': 33.52356481552124, 'value': 36.013046979904175}, 'calc_other_spectral_quan': 0.04276275634765625, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,471366.0,boltzmann,16.0,5.0,0.01,0.01,12000.0,12150.0,2000.0,1850.0,cm-1,0.01,1030001.0
20210808_Tvib300K_Trot300K_9.spec,1030000.0,300.0,296.0,300.0,300.0,cython,300.0,voigt,6.3126137256622314,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,0.0,1e-06,1.0,"1,2,3,4,5,6",1628362648.0603666,radis,471366.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_12000_471366_voigt,simple,hapi,full summation,1.0,1000.0,"{'spectrum_calculation': {'check_line_databank': 0.0003743171691894531, 'reinitialize': {'copy_database': 0.04761362075805664, 'memory_usage_warning': 0.0015137195587158203, 'reset_population': 3.170967102050781e-05, 'value': 0.04917788505554199}, 'scaled_eq_linestrength': 0.023750782012939453, 'calc_lineshift': 0.002175569534301758, 'calc_hwhm': 0.05033707618713379, 'generate_wavenumber_arrays': 0.019910573959350586, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.1188967227935791, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.030727624893188477, 'DLM_Distribute_lines': 0.3676950931549072, 'DLM_convolve': 5.581960678100586, 'value': 6.122305393218994}, 'calc_other_spectral_quan': 0.04447531700134277, 'generate_spectrum_obj': {}}}",0.0,0.9.29,boltzmann,1.0,X,1.0,471366.0,boltzmann,16.0,5.0,0.01,0.01,12000.0,12150.0,2000.0,1850.0,cm-1,0.01,1030001.0
