,Index,file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,Complexity_Voigt,Complexity_FFT,complexity_final_fft,complexity_final_fft_w
0,1,20210722_Tvib300K_Trot300K.spec,0.020334005355835,5.24520874023438e-06,0.0036854743957520004,3.19772171974182,230000.0,300,296,300,300,0.000493764877319,0.007377624511719001,cython,300,fft,0.007664442062378001,3.37913775444031,0.001364707946777,0.0078444480896,3.42,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951084.10498,radis,60000,0,0,0,1,1,CO,CO_2000_4000_60000_fft,simple,hapi,1,0.15501403808593803,1000,"{'_check_line_databank': 0.0004937648773193359, 'reinitialize_1': 0.004347801208496094, 'reinitialize_2': 1.33514404296875e-05, 'reinitialize_3': 0.002327442169189453, 'reinitialize_4': 4.00543212890625e-05, 'reinitialize': 0.006737709045410156, 'scaled_eq_linestrength': 0.014011621475219727, 'calc_lineshift': 0.0013647079467773438, 'calc_hwhm': 0.00766444206237793, '_generate_wavenumber_arrays': 0.00737762451171875, 'precompute_DLM_lineshapes': 0.1550140380859375, 'DLM_Initialized_vectors': 5.245208740234375e-06, 'DLM_closest_matching_line': 0.003685474395751953, 'DLM_Distribute_lines': 0.02033400535583496, 'DLM_convolve': 3.1977217197418213, 'calc_line_broadening': 3.3791377544403076, 'calc_other_spectral_quan': 0.00784444808959961, 'spectrum_calc_before_obj': 3.424712896347046}",0,0.9.29,0.00673770904541,0.004347801208495999,1.33514404296875e-05,0.0023274421691890004,4.00543212890625e-05,boltzmann,0.014011621475219999,1,3.42471289634705,X,1,115755,boltzmann,6,5,0.01,0.01,4000,4150,2000,1850,cm-1,0.01,230002,38608130896.81912,88025800.61176503,3.9111903699283594,3.833523616642367
1,2,20210722_Tvib300K_Trot300K_1.spec,0.019682884216309,1.07288360595703e-05,0.004108190536499,0.945570945739746,430000.0,300,296,300,300,0.00034332275390599993,0.008151531219481999,cython,300,fft,0.003839015960693,1.23230719566345,0.000964641571045,0.015825033187866003,1.27,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951090.03731,radis,60000,0,0,0,1,1,CO,CO_2000_6000_60000_fft,simple,hapi,1,0.256118535995483,1000,"{'_check_line_databank': 0.00034332275390625, 'reinitialize_1': 0.0035109519958496094, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0015954971313476562, 'reinitialize_4': 3.147125244140625e-05, 'reinitialize': 0.005154609680175781, 'scaled_eq_linestrength': 0.006666421890258789, 'calc_lineshift': 0.0009646415710449219, 'calc_hwhm': 0.0038390159606933594, '_generate_wavenumber_arrays': 0.008151531219482422, 'precompute_DLM_lineshapes': 0.2561185359954834, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.0041081905364990234, 'DLM_Distribute_lines': 0.019682884216308594, 'DLM_convolve': 0.9455709457397461, 'calc_line_broadening': 1.2323071956634521, 'calc_other_spectral_quan': 0.01582503318786621, 'spectrum_calc_before_obj': 1.2733213901519775}",0,0.9.29,0.005154609680176,0.00351095199585,1.09672546386719e-05,0.0015954971313479997,3.14712524414062e-05,boltzmann,0.006666421890259,1,1.27332139015198,X,1,210572,boltzmann,6,5,0.01,0.01,6000,6150,2000,1850,cm-1,0.01,430001,74682616526.34146,172910634.7006377,7.67026396134113,7.530258141212772
2,3,20210722_Tvib300K_Trot300K_2.spec,0.019372940063477,1.23977661132813e-05,0.004710912704467999,10.7153923511505,630000.0,300,296,300,300,0.0003535747528080001,0.012882947921752999,cython,300,fft,0.0036132335662840006,11.1438324451447,0.000839948654175,0.024901151657105,11.2,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951108.14231,radis,60000,0,0,0,1,1,CO,CO_2000_8000_60000_fft,simple,hapi,1,0.397908926010132,1000,"{'_check_line_databank': 0.0003535747528076172, 'reinitialize_1': 0.004614591598510742, 'reinitialize_2': 1.049041748046875e-05, 'reinitialize_3': 0.0021431446075439453, 'reinitialize_4': 3.337860107421875e-05, 'reinitialize': 0.006808280944824219, 'scaled_eq_linestrength': 0.0070421695709228516, 'calc_lineshift': 0.0008399486541748047, 'calc_hwhm': 0.0036132335662841797, '_generate_wavenumber_arrays': 0.01288294792175293, 'precompute_DLM_lineshapes': 0.39790892601013184, 'DLM_Initialized_vectors': 1.239776611328125e-05, 'DLM_closest_matching_line': 0.0047109127044677734, 'DLM_Distribute_lines': 0.019372940063476562, 'DLM_convolve': 10.715392351150513, 'calc_line_broadening': 11.143832445144653, 'calc_other_spectral_quan': 0.024901151657104492, 'spectrum_calc_before_obj': 11.200339794158936}",0,0.9.29,0.006808280944824,0.004614591598511,1.04904174804688e-05,0.002143144607544,3.33786010742187e-05,boltzmann,0.007042169570923001,1,11.2003397941589,X,1,301576,boltzmann,6,5,0.01,0.01,8000,8150,2000,1850,cm-1,0.01,630001,111656472120.34714,260793368.67112148,11.562097737722453,11.357551205627342
3,4,20210722_Tvib300K_Trot300K_3.spec,0.019091129302979,1.12056732177734e-05,0.0045833587646479995,5.72950530052185,830000.0,300,296,300,300,0.000336170196533,0.015600442886353,cython,300,fft,0.004056930541992,6.276932001113889,0.001015186309814,0.034467458724975995,6.34,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951124.55918,radis,60000,0,0,0,1,1,CO,CO_2000_10000_60000_fft,simple,hapi,1,0.5157718658447271,1000,"{'_check_line_databank': 0.0003361701965332031, 'reinitialize_1': 0.0029876232147216797, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0016167163848876953, 'reinitialize_4': 3.0040740966796875e-05, 'reinitialize': 0.004651308059692383, 'scaled_eq_linestrength': 0.007123708724975586, 'calc_lineshift': 0.0010151863098144531, 'calc_hwhm': 0.0040569305419921875, '_generate_wavenumber_arrays': 0.015600442886352539, 'precompute_DLM_lineshapes': 0.5157718658447266, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.0045833587646484375, 'DLM_Distribute_lines': 0.019091129302978516, 'DLM_convolve': 5.729505300521851, 'calc_line_broadening': 6.276932001113892, 'calc_other_spectral_quan': 0.034467458724975586, 'spectrum_calc_before_obj': 6.34424901008606}",0,0.9.29,0.004651308059692,0.0029876232147220006,1.12056732177734e-05,0.0016167163848879998,3.00407409667969e-05,boltzmann,0.0071237087249760005,1,6.34424901008606,X,1,389355,boltzmann,6,5,0.01,0.01,10000,10150,2000,1850,cm-1,0.01,830001,149231144904.7373,350678826.60955364,15.542620935006951,15.272062898846062
4,5,20210722_Tvib300K_Trot300K_4.spec,0.019459009170531998,1.16825103759766e-05,0.005356073379517,9.99453973770142,1030000.0,300,296,300,300,0.00034332275390599993,0.018381357192993,cython,300,fft,0.0033845901489259994,10.7226524353027,0.0007979869842529999,0.042888402938842995,10.8,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951147.9124,radis,60000,0,0,0,1,1,CO,CO_2000_12000_60000_fft,simple,hapi,1,0.6940476894378659,1000,"{'_check_line_databank': 0.00034332275390625, 'reinitialize_1': 0.0034880638122558594, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016245841979980469, 'reinitialize_4': 3.0517578125e-05, 'reinitialize': 0.00516057014465332, 'scaled_eq_linestrength': 0.006749391555786133, 'calc_lineshift': 0.0007979869842529297, 'calc_hwhm': 0.0033845901489257812, '_generate_wavenumber_arrays': 0.018381357192993164, 'precompute_DLM_lineshapes': 0.6940476894378662, 'DLM_Initialized_vectors': 1.1682510375976562e-05, 'DLM_closest_matching_line': 0.0053560733795166016, 'DLM_Distribute_lines': 0.019459009170532227, 'DLM_convolve': 9.994539737701416, 'calc_line_broadening': 10.722652435302734, 'calc_other_spectral_quan': 0.04288840293884277, 'spectrum_calc_before_obj': 10.80046010017395}",0,0.9.29,0.005160570144652999,0.0034880638122559995,1.07288360595703e-05,0.001624584197998,3.0517578125e-05,boltzmann,0.006749391555785999,1,10.800460100174,X,1,471366,boltzmann,6,5,0.01,0.01,12000,12150,2000,1850,cm-1,0.01,1030001,187258451726.14328,442073064.67137176,19.589959548472045,19.25228196643824
5,6,20210722_Tvib300K_Trot300K_5.spec,0.01940655708313,1.07288360595703e-05,0.005070447921753,22.384511232376102,1230000.0,300,296,300,300,0.0015435218811039998,0.022347211837769,cython,300,fft,0.004332542419434,23.1859512329102,0.001004695892334,0.05211949348449701,23.29,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951187.04235,radis,60000,0,0,0,1,1,CO,CO_2000_14000_60000_fft,simple,hapi,1,0.7683472633361809,1000,"{'_check_line_databank': 0.0015435218811035156, 'reinitialize_1': 0.00757145881652832, 'reinitialize_2': 2.574920654296875e-05, 'reinitialize_3': 0.003537416458129883, 'reinitialize_4': 6.818771362304688e-05, 'reinitialize': 0.011217117309570312, 'scaled_eq_linestrength': 0.010446786880493164, 'calc_lineshift': 0.0010046958923339844, 'calc_hwhm': 0.004332542419433594, '_generate_wavenumber_arrays': 0.022347211837768555, 'precompute_DLM_lineshapes': 0.7683472633361816, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.00507044792175293, 'DLM_Distribute_lines': 0.019406557083129883, 'DLM_convolve': 22.3845112323761, 'calc_line_broadening': 23.185951232910156, 'calc_other_spectral_quan': 0.05211949348449707, 'spectrum_calc_before_obj': 23.289066791534424}",0,0.9.29,0.01121711730957,0.007571458816528001,2.57492065429687e-05,0.0035374164581300003,6.81877136230469e-05,boltzmann,0.010446786880493,1,23.2890667915344,X,1,543823,boltzmann,6,5,0.01,0.01,14000,14150,2000,1850,cm-1,0.01,1230001,225649228083.7329,534678867.8538021,23.690951591292986,23.28526469503308
6,7,20210722_Tvib300K_Trot300K_6.spec,0.019043684005737,1.16825103759766e-05,0.00538969039917,25.389746427536,1430000.0,300,296,300,300,0.000339031219482,0.024102449417113998,cython,300,fft,0.003602743148804,26.328311681747397,0.0008347034454349999,0.062121868133545,26.43,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951235.04061,radis,60000,0,0,0,1,1,CO,CO_2000_16000_60000_fft,simple,hapi,1,0.9067683219909671,1000,"{'_check_line_databank': 0.0003390312194824219, 'reinitialize_1': 0.0032770633697509766, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016405582427978516, 'reinitialize_4': 3.075599670410156e-05, 'reinitialize': 0.0049648284912109375, 'scaled_eq_linestrength': 0.006845951080322266, 'calc_lineshift': 0.0008347034454345703, 'calc_hwhm': 0.003602743148803711, '_generate_wavenumber_arrays': 0.024102449417114258, 'precompute_DLM_lineshapes': 0.9067683219909668, 'DLM_Initialized_vectors': 1.1682510375976562e-05, 'DLM_closest_matching_line': 0.005389690399169922, 'DLM_Distribute_lines': 0.019043684005737305, 'DLM_convolve': 25.38974642753601, 'calc_line_broadening': 26.328311681747437, 'calc_other_spectral_quan': 0.06212186813354492, 'spectrum_calc_before_obj': 26.43118715286255}",0,0.9.29,0.004964828491210999,0.003277063369751,1.07288360595703e-05,0.001640558242798,3.0755996704101596e-05,boltzmann,0.006845951080321999,1,26.431187152862503,X,1,597654,boltzmann,6,5,0.01,0.01,16000,16150,2000,1850,cm-1,0.01,1430001,264343790475.19055,628297291.1491259,27.836786904002704,27.362347029544438
7,8,20210722_Tvib300K_Trot300K_7.spec,0.019202947616577,1.12056732177734e-05,0.005664348602295,28.331190347671498,1630000.0,300,296,300,300,0.000338315963745,0.030950069427490002,cython,300,fft,0.0036225318908690005,29.4020655155182,0.0007963180541989998,0.067336082458496,29.52,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951285.63886,radis,60000,0,0,0,1,1,CO,CO_2000_18000_60000_fft,simple,hapi,1,1.03877568244934,1000,"{'_check_line_databank': 0.0003383159637451172, 'reinitialize_1': 0.0030374526977539062, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0016009807586669922, 'reinitialize_4': 3.0279159545898438e-05, 'reinitialize': 0.004684925079345703, 'scaled_eq_linestrength': 0.007274150848388672, 'calc_lineshift': 0.0007963180541992188, 'calc_hwhm': 0.0036225318908691406, '_generate_wavenumber_arrays': 0.030950069427490234, 'precompute_DLM_lineshapes': 1.0387756824493408, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.005664348602294922, 'DLM_Distribute_lines': 0.01920294761657715, 'DLM_convolve': 28.33119034767151, 'calc_line_broadening': 29.40206551551819, 'calc_other_spectral_quan': 0.0673360824584961, 'spectrum_calc_before_obj': 29.517156839370728}",0,0.9.29,0.004684925079346,0.003037452697754,1.09672546386719e-05,0.001600980758667,3.02791595458984e-05,boltzmann,0.007274150848389,1,29.5171568393707,X,1,631550,boltzmann,6,5,0.01,0.01,18000,18150,2000,1850,cm-1,0.01,1630001,303299347526.13007,722785696.6427222,32.02114885273201,31.477317088790556
8,9,20210722_Tvib300K_Trot300K_8.spec,0.019782543182373002,1.19209289550781e-05,0.006204128265380999,10.6002261638641,1830000.0,300,296,300,300,0.00034213066101099996,0.031822919845581006,cython,300,fft,0.003802061080933,11.8349652290344,0.0008652210235599999,0.075074434280396,11.96,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951322.1403902,radis,60000,0,0,0,1,1,CO,CO_2000_20000_60000_fft,simple,hapi,1,1.19812655448914,1000,"{'_check_line_databank': 0.0003421306610107422, 'reinitialize_1': 0.003085613250732422, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016326904296875, 'reinitialize_4': 3.0279159545898438e-05, 'reinitialize': 0.004765033721923828, 'scaled_eq_linestrength': 0.006972551345825195, 'calc_lineshift': 0.0008652210235595703, 'calc_hwhm': 0.003802061080932617, '_generate_wavenumber_arrays': 0.031822919845581055, 'precompute_DLM_lineshapes': 1.1981265544891357, 'DLM_Initialized_vectors': 1.1920928955078125e-05, 'DLM_closest_matching_line': 0.006204128265380859, 'DLM_Distribute_lines': 0.019782543182373047, 'DLM_convolve': 10.600226163864136, 'calc_line_broadening': 11.834965229034424, 'calc_other_spectral_quan': 0.07507443428039551, 'spectrum_calc_before_obj': 11.95867657661438}",0,0.9.29,0.004765033721924,0.0030856132507320003,1.07288360595703e-05,0.001632690429688,3.02791595458984e-05,boltzmann,0.006972551345825,1,11.958676576614401,X,1,648238,boltzmann,6,5,0.01,0.01,20000,20150,2000,1850,cm-1,0.01,1830001,342483701562.0447,818036758.7529026,36.23928458894043,35.62550084368891
9,10,20210722_Tvib300K_Trot300K_9.spec,0.019359827041626,1.12056732177734e-05,0.006548881530761999,36.2128612995148,2030000.0,300,296,300,300,0.00034284591674799993,0.038580417633057,cython,300,fft,0.003682613372803,37.5811831951141,0.0009450912475589999,0.08515596389770501,37.72,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951386.29493,radis,60000,0,0,0,1,1,CO,CO_2000_22000_60000_fft,simple,hapi,1,1.33365058898926,1000,"{'_check_line_databank': 0.0003428459167480469, 'reinitialize_1': 0.0030977725982666016, 'reinitialize_2': 1.049041748046875e-05, 'reinitialize_3': 0.00159454345703125, 'reinitialize_4': 2.9802322387695312e-05, 'reinitialize': 0.0047380924224853516, 'scaled_eq_linestrength': 0.006675243377685547, 'calc_lineshift': 0.0009450912475585938, 'calc_hwhm': 0.0036826133728027344, '_generate_wavenumber_arrays': 0.03858041763305664, 'precompute_DLM_lineshapes': 1.3336505889892578, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.006548881530761719, 'DLM_Distribute_lines': 0.019359827041625977, 'DLM_convolve': 36.21286129951477, 'calc_line_broadening': 37.581183195114136, 'calc_other_spectral_quan': 0.08515596389770508, 'spectrum_calc_before_obj': 37.7213659286499}",0,0.9.29,0.004738092422484999,0.003097772598267,1.04904174804688e-05,0.001594543457031,2.98023223876953e-05,boltzmann,0.006675243377686,1,37.721365928649895,X,1,652868,boltzmann,6,5,0.01,0.01,22000,22150,2000,1850,cm-1,0.01,2030001,381871740899.90265,913966771.8695608,40.48748726025815,39.803252914919376
