Index,file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,Complexity_Voigt,Complexity_FFT
40,20210722_Tvib300K_Trot300K_40.spec,0.00048756599426300003,5.7220458984375e-06,0.0009551048278810001,0.035835981369019,5000.0,300,296,300,300,0.00033664703369099995,0.000553846359253,cython,300,voigt,0.008764743804932,0.041121006011962995,0.001386642456055,0.0013902187347410002,0.06,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963184.13393,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.0036263465881350002,1000,"{'_check_line_databank': 0.00033664703369140625, 'reinitialize_1': 0.0005707740783691406, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.0021033287048339844, 'reinitialize_4': 3.314018249511719e-05, 'reinitialize': 0.0027246475219726562, 'scaled_eq_linestrength': 0.006707429885864258, 'calc_lineshift': 0.0013866424560546875, 'calc_hwhm': 0.00876474380493164, '_generate_wavenumber_arrays': 0.0005538463592529297, 'precompute_DLM_lineshapes': 0.0036263465881347656, 'DLM_Initialized_vectors': 5.7220458984375e-06, 'DLM_closest_matching_line': 0.0009551048278808594, 'DLM_Distribute_lines': 0.0004875659942626953, 'DLM_convolve': 0.035835981369018555, 'calc_line_broadening': 0.04112100601196289, 'calc_other_spectral_quan': 0.001390218734741211, 'spectrum_calc_before_obj': 0.06304502487182617}",0,0.9.29,0.002724647521973,0.000570774078369,1.1444091796875e-05,0.002103328704834,3.31401824951172e-05,boltzmann,0.006707429885864,1,0.06304502487182599,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.08,5003,341303415.9857385,681375.4553132991
41,20210722_Tvib300K_Trot300K_41.spec,0.0006415843963619999,1.02519989013672e-05,0.0017044544219970003,0.041499614715576005,5128.20512820513,300,296,300,300,0.0003981590271,0.0008342266082760001,cython,300,voigt,0.010664939880371,0.0483238697052,0.0008614063262939998,0.000791788101196,0.07,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963184.30993,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.004014492034912,1000,"{'_check_line_databank': 0.0003981590270996094, 'reinitialize_1': 0.0014142990112304688, 'reinitialize_2': 1.1920928955078125e-05, 'reinitialize_3': 0.0025453567504882812, 'reinitialize_4': 5.2928924560546875e-05, 'reinitialize': 0.00403285026550293, 'scaled_eq_linestrength': 0.007082223892211914, 'calc_lineshift': 0.0008614063262939453, 'calc_hwhm': 0.010664939880371094, '_generate_wavenumber_arrays': 0.0008342266082763672, 'precompute_DLM_lineshapes': 0.004014492034912109, 'DLM_Initialized_vectors': 1.0251998901367188e-05, 'DLM_closest_matching_line': 0.0017044544219970703, 'DLM_Distribute_lines': 0.0006415843963623047, 'DLM_convolve': 0.04149961471557617, 'calc_line_broadening': 0.048323869705200195, 'calc_other_spectral_quan': 0.0007917881011962891, 'spectrum_calc_before_obj': 0.07306981086730957}",0,0.9.29,0.004032850265503,0.00141429901123,1.19209289550781e-05,0.002545356750488,5.29289245605469e-05,boltzmann,0.007082223892212,1,0.07306981086731,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.078,5003,350677993.2075504,700923.9794379922
42,20210722_Tvib300K_Trot300K_42.spec,0.0006034374237059999,1.1444091796875e-05,0.001250505447388,0.045121431350708,5263.15789473684,300,296,300,300,0.00033688545227099993,0.000500917434692,cython,300,voigt,0.008266925811768001,0.051188945770264005,0.000800132751465,0.0007891654968260001,0.07,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963184.48593,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.003827333450317,1000,"{'_check_line_databank': 0.0003368854522705078, 'reinitialize_1': 0.0017087459564208984, 'reinitialize_2': 1.9550323486328125e-05, 'reinitialize_3': 0.002330303192138672, 'reinitialize_4': 4.38690185546875e-05, 'reinitialize': 0.004111766815185547, 'scaled_eq_linestrength': 0.00723719596862793, 'calc_lineshift': 0.0008001327514648438, 'calc_hwhm': 0.008266925811767578, '_generate_wavenumber_arrays': 0.0005009174346923828, 'precompute_DLM_lineshapes': 0.003827333450317383, 'DLM_Initialized_vectors': 1.1444091796875e-05, 'DLM_closest_matching_line': 0.0012505054473876953, 'DLM_Distribute_lines': 0.0006034374237060547, 'DLM_convolve': 0.04512143135070801, 'calc_line_broadening': 0.05118894577026367, 'calc_other_spectral_quan': 0.0007891654968261719, 'spectrum_calc_before_obj': 0.07329726219177246}",0,0.9.29,0.004111766815186,0.001708745956421,1.95503234863281e-05,0.0023303031921389997,4.38690185546875e-05,boltzmann,0.007237195968628001,1,0.07329726219177299,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.076,5003,360562584.2642522,721556.756699266
43,20210722_Tvib300K_Trot300K_43.spec,0.000600814819336,1.16825103759766e-05,0.001190423965454,0.050950765609740996,5405.40540540541,300,296,300,300,0.0003342628479,0.000585079193115,cython,300,voigt,0.010998249053954998,0.056942462921142994,0.00090765953064,0.001518249511719,0.08,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963184.66593,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.003985643386841,1000,"{'_check_line_databank': 0.0003342628479003906, 'reinitialize_1': 0.00135040283203125, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0014760494232177734, 'reinitialize_4': 5.0067901611328125e-05, 'reinitialize': 0.002895355224609375, 'scaled_eq_linestrength': 0.006489992141723633, 'calc_lineshift': 0.0009076595306396484, 'calc_hwhm': 0.010998249053955078, '_generate_wavenumber_arrays': 0.0005850791931152344, 'precompute_DLM_lineshapes': 0.00398564338684082, 'DLM_Initialized_vectors': 1.1682510375976562e-05, 'DLM_closest_matching_line': 0.0011904239654541016, 'DLM_Distribute_lines': 0.0006008148193359375, 'DLM_convolve': 0.05095076560974121, 'calc_line_broadening': 0.05694246292114258, 'calc_other_spectral_quan': 0.00151824951171875, 'spectrum_calc_before_obj': 0.08074045181274414}",0,0.9.29,0.0028953552246090003,0.001350402832031,1.12056732177734e-05,0.0014760494232179998,5.00679016113281e-05,boltzmann,0.006489992141724,1,0.080740451812744,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07400000000000001,5003,370999451.8713643,743364.7336550017
44,20210722_Tvib300K_Trot300K_44.spec,0.000589609146118,6.19888305664063e-06,0.001154899597168,0.045226097106934,5555.55555555556,300,296,300,300,0.000388860702515,0.0005257129669190001,cython,300,voigt,0.008917093276978,0.05119705200195299,0.00093150138855,0.0011785030364989998,0.07,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963184.83793,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.003908872604369999,1000,"{'_check_line_databank': 0.00038886070251464844, 'reinitialize_1': 0.002118349075317383, 'reinitialize_2': 1.8358230590820312e-05, 'reinitialize_3': 0.0016088485717773438, 'reinitialize_4': 4.1484832763671875e-05, 'reinitialize': 0.003796815872192383, 'scaled_eq_linestrength': 0.007424354553222656, 'calc_lineshift': 0.0009315013885498047, 'calc_hwhm': 0.008917093276977539, '_generate_wavenumber_arrays': 0.0005257129669189453, 'precompute_DLM_lineshapes': 0.003908872604370117, 'DLM_Initialized_vectors': 6.198883056640625e-06, 'DLM_closest_matching_line': 0.0011548995971679688, 'DLM_Distribute_lines': 0.0005896091461181641, 'DLM_convolve': 0.045226097106933594, 'calc_line_broadening': 0.051197052001953125, 'calc_other_spectral_quan': 0.0011785030364990234, 'spectrum_calc_before_obj': 0.07442498207092285}",0,0.9.29,0.003796815872192,0.0021183490753170003,1.83582305908203e-05,0.0016088485717770003,4.14848327636719e-05,boltzmann,0.007424354553223001,1,0.074424982070923,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07200000000000001,5003,382035631.5128074,766449.2184065842
45,20210722_Tvib300K_Trot300K_45.spec,0.0007143020629880001,6.914138793945309e-06,0.001116991043091,0.048879146575928005,5714.28571428572,300,296,300,300,0.00040602684021,0.0005333423614499999,cython,300,voigt,0.00869631767273,0.05492353439331099,0.0008652210235599999,0.0008091926574710001,0.08,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963185.01393,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.003875494003296,1000,"{'_check_line_databank': 0.00040602684020996094, 'reinitialize_1': 0.001573324203491211, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0015299320220947266, 'reinitialize_4': 4.172325134277344e-05, 'reinitialize': 0.003164052963256836, 'scaled_eq_linestrength': 0.006975889205932617, 'calc_lineshift': 0.0008652210235595703, 'calc_hwhm': 0.008696317672729492, '_generate_wavenumber_arrays': 0.0005333423614501953, 'precompute_DLM_lineshapes': 0.0038754940032958984, 'DLM_Initialized_vectors': 6.9141387939453125e-06, 'DLM_closest_matching_line': 0.0011169910430908203, 'DLM_Distribute_lines': 0.0007143020629882812, 'DLM_convolve': 0.048879146575927734, 'calc_line_broadening': 0.05492353439331055, 'calc_other_spectral_quan': 0.0008091926574707031, 'spectrum_calc_before_obj': 0.07644152641296387}",0,0.9.29,0.003164052963257,0.0015733242034910002,1.12056732177734e-05,0.0015299320220950002,4.1723251342773404e-05,boltzmann,0.0069758892059330006,1,0.076441526412964,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07,5003,393723622.18140274,790923.3905408704
46,20210722_Tvib300K_Trot300K_46.spec,0.000603199005127,9.298324584960941e-06,0.0011663436889649999,0.05793380737304701,5882.352941176469,300,296,300,300,0.00039601325988800003,0.000515699386597,cython,300,voigt,0.010438680648804,0.064321994781494,0.000826120376587,0.00090217590332,0.09,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963185.20193,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.004316806793213,1000,"{'_check_line_databank': 0.0003960132598876953, 'reinitialize_1': 0.001829385757446289, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0016596317291259766, 'reinitialize_4': 5.936622619628906e-05, 'reinitialize': 0.0035686492919921875, 'scaled_eq_linestrength': 0.0073506832122802734, 'calc_lineshift': 0.0008261203765869141, 'calc_hwhm': 0.010438680648803711, '_generate_wavenumber_arrays': 0.0005156993865966797, 'precompute_DLM_lineshapes': 0.004316806793212891, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.0011663436889648438, 'DLM_Distribute_lines': 0.0006031990051269531, 'DLM_convolve': 0.057933807373046875, 'calc_line_broadening': 0.06432199478149414, 'calc_other_spectral_quan': 0.0009021759033203125, 'spectrum_calc_before_obj': 0.08840680122375488}",0,0.9.29,0.003568649291992,0.001829385757446,1.16825103759766e-05,0.0016596317291260002,5.9366226196289096e-05,boltzmann,0.00735068321228,1,0.08840680122375501,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.068,5003,406122200.3455118,816914.0819683773
47,20210722_Tvib300K_Trot300K_47.spec,0.0007615089416499999,6.43730163574219e-06,0.0011417865753169999,0.059266567230225,6060.606060606059,300,296,300,300,0.00041890144348100003,0.000564336776733,cython,300,voigt,0.007566690444946,0.06564688682556201,0.000715255737305,0.0008249282836910001,0.09,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963185.3939302,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.004074811935425,1000,"{'_check_line_databank': 0.0004189014434814453, 'reinitialize_1': 0.002454996109008789, 'reinitialize_2': 1.2159347534179688e-05, 'reinitialize_3': 0.0014464855194091797, 'reinitialize_4': 3.6716461181640625e-05, 'reinitialize': 0.003957033157348633, 'scaled_eq_linestrength': 0.006264925003051758, 'calc_lineshift': 0.0007152557373046875, 'calc_hwhm': 0.007566690444946289, '_generate_wavenumber_arrays': 0.0005643367767333984, 'precompute_DLM_lineshapes': 0.004074811935424805, 'DLM_Initialized_vectors': 6.4373016357421875e-06, 'DLM_closest_matching_line': 0.0011417865753173828, 'DLM_Distribute_lines': 0.0007615089416503906, 'DLM_convolve': 0.05926656723022461, 'calc_line_broadening': 0.06564688682556152, 'calc_other_spectral_quan': 0.0008249282836914062, 'spectrum_calc_before_obj': 0.08603119850158691}",0,0.9.29,0.003957033157349001,0.002454996109009,1.21593475341797e-05,0.001446485519409,3.67164611816406e-05,boltzmann,0.006264925003051999,1,0.08603119850158701,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.066,5003,419297383.5263968,844563.8869395094
48,20210722_Tvib300K_Trot300K_48.spec,0.0006527900695800001,6.43730163574219e-06,0.001190662384033,0.057572603225708,6250.0,300,296,300,300,0.00033712387085,0.000530242919922,cython,300,voigt,0.008352518081665,0.063867568969727,0.0008027553558350001,0.001029253005981,0.08,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963185.5819302,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.0042598247528080006,1000,"{'_check_line_databank': 0.0003371238708496094, 'reinitialize_1': 0.001209259033203125, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0013835430145263672, 'reinitialize_4': 3.528594970703125e-05, 'reinitialize': 0.0026450157165527344, 'scaled_eq_linestrength': 0.0070018768310546875, 'calc_lineshift': 0.0008027553558349609, 'calc_hwhm': 0.008352518081665039, '_generate_wavenumber_arrays': 0.000530242919921875, 'precompute_DLM_lineshapes': 0.004259824752807617, 'DLM_Initialized_vectors': 6.4373016357421875e-06, 'DLM_closest_matching_line': 0.0011906623840332031, 'DLM_Distribute_lines': 0.0006527900695800781, 'DLM_convolve': 0.05757260322570801, 'calc_line_broadening': 0.06386756896972656, 'calc_other_spectral_quan': 0.0010292530059814453, 'spectrum_calc_before_obj': 0.08464550971984863}",0,0.9.29,0.002645015716553,0.001209259033203,1.12056732177734e-05,0.0013835430145259999,3.52859497070312e-05,boltzmann,0.007001876831055001,1,0.08464550971984901,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.064,5003,433323576.5215994,874033.6742730447
49,20210722_Tvib300K_Trot300K_49.spec,0.0006477832794190001,9.5367431640625e-06,0.001225471496582,0.065410137176514,6451.61290322581,300,296,300,300,0.00033473968505900005,0.0005939006805419999,cython,300,voigt,0.009866476058959999,0.072416543960571,0.000878572463989,0.000834465026855,0.09,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626963185.77793,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_voigt,simple,hapi,1,0.004710674285889,1000,"{'_check_line_databank': 0.00033473968505859375, 'reinitialize_1': 0.001547098159790039, 'reinitialize_2': 1.6450881958007812e-05, 'reinitialize_3': 0.0014905929565429688, 'reinitialize_4': 3.790855407714844e-05, 'reinitialize': 0.0031003952026367188, 'scaled_eq_linestrength': 0.006626605987548828, 'calc_lineshift': 0.0008785724639892578, 'calc_hwhm': 0.009866476058959961, '_generate_wavenumber_arrays': 0.0005939006805419922, 'precompute_DLM_lineshapes': 0.004710674285888672, 'DLM_Initialized_vectors': 9.5367431640625e-06, 'DLM_closest_matching_line': 0.0012254714965820312, 'DLM_Distribute_lines': 0.0006477832794189453, 'DLM_convolve': 0.06541013717651367, 'calc_line_broadening': 0.07241654396057129, 'calc_other_spectral_quan': 0.0008344650268554688, 'spectrum_calc_before_obj': 0.09471726417541504}",0,0.9.29,0.0031003952026369998,0.00154709815979,1.64508819580078e-05,0.001490592956543,3.7908554077148404e-05,boltzmann,0.006626605987548999,1,0.094717264175415,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.062,5003,448284941.9055868,905505.593914326
