file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210723_Tvib300K_Trot300K.spec,0.0005207061767578125,5.245208740234375e-06,0.00027489662170410156,0.5322883129119873,230000.0,300.0,296.0,300.0,300.0,0.00019788742065429688,0.004448652267456055,cython,300.0,fft,0.0017960071563720703,0.5468695163726807,0.0005228519439697266,0.00802159309387207,0.57,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035127.4884417,radis,1.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_1_fft,simple,hapi,1.0,0.013324975967407227,1000.0,"{'_check_line_databank': 0.00019788742065429688, 'reinitialize_1': 0.0002491474151611328, 'reinitialize_2': 1.049041748046875e-05, 'reinitialize_3': 0.0017023086547851562, 'reinitialize_4': 2.2172927856445312e-05, 'reinitialize': 0.001990079879760742, 'scaled_eq_linestrength': 0.0025911331176757812, 'calc_lineshift': 0.0005228519439697266, 'calc_hwhm': 0.0017960071563720703, '_generate_wavenumber_arrays': 0.004448652267456055, 'precompute_DLM_lineshapes': 0.013324975967407227, 'DLM_Initialized_vectors': 5.245208740234375e-06, 'DLM_closest_matching_line': 0.00027489662170410156, 'DLM_Distribute_lines': 0.0005207061767578125, 'DLM_convolve': 0.5322883129119873, 'calc_line_broadening': 0.5468695163726807, 'calc_other_spectral_quan': 0.00802159309387207, 'spectrum_calc_before_obj': 0.5664994716644287}",0.0,0.9.29,0.001990079879760742,0.0002491474151611328,1.049041748046875e-05,0.0017023086547851562,2.2172927856445312e-05,boltzmann,0.0025911331176757812,1.0,0.5664994716644287,X,1.0,4398730.0,boltzmann,2.0,2.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_1.spec,0.0005066394805908203,5.245208740234375e-06,0.00027489662170410156,0.5158729553222656,230000.0,300.0,296.0,300.0,300.0,0.0009047985076904297,0.0053920745849609375,cython,300.0,fft,0.007413148880004883,0.5309698581695557,0.0023751258850097656,0.007855653762817383,0.6,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035384.1004016,radis,1.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_1_fft,simple,hapi,1.0,0.013715028762817383,1000.0,"{'_check_line_databank': 0.0009047985076904297, 'reinitialize_1': 0.0009489059448242188, 'reinitialize_2': 4.744529724121094e-05, 'reinitialize_3': 0.03515315055847168, 'reinitialize_4': 9.083747863769531e-05, 'reinitialize': 0.03626132011413574, 'scaled_eq_linestrength': 0.011072397232055664, 'calc_lineshift': 0.0023751258850097656, 'calc_hwhm': 0.007413148880004883, '_generate_wavenumber_arrays': 0.0053920745849609375, 'precompute_DLM_lineshapes': 0.013715028762817383, 'DLM_Initialized_vectors': 5.245208740234375e-06, 'DLM_closest_matching_line': 0.00027489662170410156, 'DLM_Distribute_lines': 0.0005066394805908203, 'DLM_convolve': 0.5158729553222656, 'calc_line_broadening': 0.5309698581695557, 'calc_other_spectral_quan': 0.007855653762817383, 'spectrum_calc_before_obj': 0.6023898124694824}",0.0,0.9.29,0.03626132011413574,0.0009489059448242188,4.744529724121094e-05,0.03515315055847168,9.083747863769531e-05,boltzmann,0.011072397232055664,1.0,0.6023898124694824,X,1.0,4398730.0,boltzmann,2.0,2.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_2.spec,0.0008029937744140625,1.2874603271484375e-05,0.00029778480529785156,0.7396831512451172,230000.0,300.0,296.0,300.0,300.0,0.0004894733428955078,0.005705595016479492,cython,300.0,fft,0.003223896026611328,0.7629694938659668,0.001062154769897461,0.008388519287109375,0.79,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035422.8374474,radis,10.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_10_fft,simple,hapi,1.0,0.021187305450439453,1000.0,"{'_check_line_databank': 0.0004894733428955078, 'reinitialize_1': 0.0007312297821044922, 'reinitialize_2': 3.361701965332031e-05, 'reinitialize_3': 0.004084348678588867, 'reinitialize_4': 5.173683166503906e-05, 'reinitialize': 0.004914045333862305, 'scaled_eq_linestrength': 0.005667209625244141, 'calc_lineshift': 0.001062154769897461, 'calc_hwhm': 0.003223896026611328, '_generate_wavenumber_arrays': 0.005705595016479492, 'precompute_DLM_lineshapes': 0.021187305450439453, 'DLM_Initialized_vectors': 1.2874603271484375e-05, 'DLM_closest_matching_line': 0.00029778480529785156, 'DLM_Distribute_lines': 0.0008029937744140625, 'DLM_convolve': 0.7396831512451172, 'calc_line_broadening': 0.7629694938659668, 'calc_other_spectral_quan': 0.008388519287109375, 'spectrum_calc_before_obj': 0.7925279140472412}",0.0,0.9.29,0.004914045333862305,0.0007312297821044922,3.361701965332031e-05,0.004084348678588867,5.173683166503906e-05,boltzmann,0.005667209625244141,1.0,0.7925279140472412,X,1.0,4398730.0,boltzmann,2.0,3.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_3.spec,0.0008096694946289062,1.1205673217773438e-05,0.0003020763397216797,0.7167315483093262,230000.0,300.0,296.0,300.0,300.0,0.0001456737518310547,0.0049321651458740234,cython,300.0,fft,0.0019347667694091797,0.7390282154083252,0.0005636215209960938,0.00783991813659668,0.76,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035453.778118,radis,100.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_100_fft,simple,hapi,1.0,0.020577430725097656,1000.0,"{'_check_line_databank': 0.0001456737518310547, 'reinitialize_1': 0.0002567768096923828, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0014574527740478516, 'reinitialize_4': 2.384185791015625e-05, 'reinitialize': 0.0017540454864501953, 'scaled_eq_linestrength': 0.002602100372314453, 'calc_lineshift': 0.0005636215209960938, 'calc_hwhm': 0.0019347667694091797, '_generate_wavenumber_arrays': 0.0049321651458740234, 'precompute_DLM_lineshapes': 0.020577430725097656, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.0003020763397216797, 'DLM_Distribute_lines': 0.0008096694946289062, 'DLM_convolve': 0.7167315483093262, 'calc_line_broadening': 0.7390282154083252, 'calc_other_spectral_quan': 0.00783991813659668, 'spectrum_calc_before_obj': 0.7588639259338379}",0.0,0.9.29,0.0017540454864501953,0.0002567768096923828,1.1682510375976562e-05,0.0014574527740478516,2.384185791015625e-05,boltzmann,0.002602100372314453,1.0,0.7588639259338379,X,1.0,4398730.0,boltzmann,2.0,3.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_4.spec,0.0008397102355957031,1.2874603271484375e-05,0.00033020973205566406,0.7118346691131592,230000.0,300.0,296.0,300.0,300.0,0.0006041526794433594,0.006309986114501953,cython,300.0,fft,0.0036270618438720703,0.7360966205596924,0.0010190010070800781,0.0077250003814697266,0.77,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035485.2300568,radis,1000.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_1000_fft,simple,hapi,1.0,0.02245616912841797,1000.0,"{'_check_line_databank': 0.0006041526794433594, 'reinitialize_1': 0.0012290477752685547, 'reinitialize_2': 4.9114227294921875e-05, 'reinitialize_3': 0.005553007125854492, 'reinitialize_4': 0.00010037422180175781, 'reinitialize': 0.006952524185180664, 'scaled_eq_linestrength': 0.008892536163330078, 'calc_lineshift': 0.0010190010070800781, 'calc_hwhm': 0.0036270618438720703, '_generate_wavenumber_arrays': 0.006309986114501953, 'precompute_DLM_lineshapes': 0.02245616912841797, 'DLM_Initialized_vectors': 1.2874603271484375e-05, 'DLM_closest_matching_line': 0.00033020973205566406, 'DLM_Distribute_lines': 0.0008397102355957031, 'DLM_convolve': 0.7118346691131592, 'calc_line_broadening': 0.7360966205596924, 'calc_other_spectral_quan': 0.0077250003814697266, 'spectrum_calc_before_obj': 0.7713525295257568}",0.0,0.9.29,0.006952524185180664,0.0012290477752685547,4.9114227294921875e-05,0.005553007125854492,0.00010037422180175781,boltzmann,0.008892536163330078,1.0,0.7713525295257568,X,1.0,4398730.0,boltzmann,2.0,3.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_5.spec,0.001024484634399414,1.239776611328125e-05,0.0007426738739013672,0.7040395736694336,230000.0,300.0,296.0,300.0,300.0,0.00014138221740722656,0.003943443298339844,cython,300.0,fft,0.0019259452819824219,0.7266819477081299,0.00054931640625,0.007680654525756836,0.75,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035516.2055345,radis,10000.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_10000_fft,simple,hapi,1.0,0.02022242546081543,1000.0,"{'_check_line_databank': 0.00014138221740722656, 'reinitialize_1': 0.0008716583251953125, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0015499591827392578, 'reinitialize_4': 2.3126602172851562e-05, 'reinitialize': 0.002460956573486328, 'scaled_eq_linestrength': 0.0029036998748779297, 'calc_lineshift': 0.00054931640625, 'calc_hwhm': 0.0019259452819824219, '_generate_wavenumber_arrays': 0.003943443298339844, 'precompute_DLM_lineshapes': 0.02022242546081543, 'DLM_Initialized_vectors': 1.239776611328125e-05, 'DLM_closest_matching_line': 0.0007426738739013672, 'DLM_Distribute_lines': 0.001024484634399414, 'DLM_convolve': 0.7040395736694336, 'calc_line_broadening': 0.7266819477081299, 'calc_other_spectral_quan': 0.007680654525756836, 'spectrum_calc_before_obj': 0.7463498115539551}",0.0,0.9.29,0.002460956573486328,0.0008716583251953125,1.1205673217773438e-05,0.0015499591827392578,2.3126602172851562e-05,boltzmann,0.0029036998748779297,1.0,0.7463498115539551,X,1.0,4398730.0,boltzmann,2.0,3.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_6.spec,0.002791166305541992,1.1920928955078125e-05,0.004378557205200195,0.7157714366912842,230000.0,300.0,296.0,300.0,300.0,0.0001399517059326172,0.004427671432495117,cython,300.0,fft,0.0042421817779541016,0.7464282512664795,0.0010533332824707031,0.0077457427978515625,0.78,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035547.0726237,radis,100000.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_100000_fft,simple,hapi,1.0,0.022832155227661133,1000.0,"{'_check_line_databank': 0.0001399517059326172, 'reinitialize_1': 0.00860905647277832, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0015282630920410156, 'reinitialize_4': 2.5033950805664062e-05, 'reinitialize': 0.010178565979003906, 'scaled_eq_linestrength': 0.00770878791809082, 'calc_lineshift': 0.0010533332824707031, 'calc_hwhm': 0.0042421817779541016, '_generate_wavenumber_arrays': 0.004427671432495117, 'precompute_DLM_lineshapes': 0.022832155227661133, 'DLM_Initialized_vectors': 1.1920928955078125e-05, 'DLM_closest_matching_line': 0.004378557205200195, 'DLM_Distribute_lines': 0.002791166305541992, 'DLM_convolve': 0.7157714366912842, 'calc_line_broadening': 0.7464282512664795, 'calc_other_spectral_quan': 0.0077457427978515625, 'spectrum_calc_before_obj': 0.7819924354553223}",0.0,0.9.29,0.010178565979003906,0.00860905647277832,1.0728836059570312e-05,0.0015282630920410156,2.5033950805664062e-05,boltzmann,0.00770878791809082,1.0,0.7819924354553223,X,1.0,4398730.0,boltzmann,2.0,3.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_7.spec,0.0645914077758789,1.0728836059570312e-05,0.05746579170227051,5.186608552932739,230000.0,300.0,296.0,300.0,300.0,0.0006699562072753906,0.009989500045776367,cython,300.0,fft,0.01716756820678711,5.631341218948364,0.003331899642944336,0.007837057113647461,5.83,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035583.8743613,radis,1000000.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_1000000_fft,simple,hapi,1.0,0.3137519359588623,1000.0,"{'_check_line_databank': 0.0006699562072753906, 'reinitialize_1': 0.12465119361877441, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.001569509506225586, 'reinitialize_4': 2.4557113647460938e-05, 'reinitialize': 0.1262657642364502, 'scaled_eq_linestrength': 0.037570953369140625, 'calc_lineshift': 0.003331899642944336, 'calc_hwhm': 0.01716756820678711, '_generate_wavenumber_arrays': 0.009989500045776367, 'precompute_DLM_lineshapes': 0.3137519359588623, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.05746579170227051, 'DLM_Distribute_lines': 0.0645914077758789, 'DLM_convolve': 5.186608552932739, 'calc_line_broadening': 5.631341218948364, 'calc_other_spectral_quan': 0.007837057113647461, 'spectrum_calc_before_obj': 5.834272623062134}",0.0,0.9.29,0.1262657642364502,0.12465119361877441,1.1444091796875e-05,0.001569509506225586,2.4557113647460938e-05,boltzmann,0.037570953369140625,1.0,5.834272623062134,X,1.0,4398730.0,boltzmann,5.0,10.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_8.spec,0.10278487205505371,1.0728836059570312e-05,0.10510635375976562,5.700828313827515,230000.0,300.0,296.0,300.0,300.0,0.0001380443572998047,0.014425039291381836,cython,300.0,fft,0.046742916107177734,6.257565259933472,0.0058515071868896484,0.007920265197753906,6.74,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035622.3634515,radis,2000000.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_2000000_fft,simple,hapi,1.0,0.3401496410369873,1000.0,"{'_check_line_databank': 0.0001380443572998047, 'reinitialize_1': 0.3255593776702881, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0016109943389892578, 'reinitialize_4': 2.3365020751953125e-05, 'reinitialize': 0.3272109031677246, 'scaled_eq_linestrength': 0.0762937068939209, 'calc_lineshift': 0.0058515071868896484, 'calc_hwhm': 0.046742916107177734, '_generate_wavenumber_arrays': 0.014425039291381836, 'precompute_DLM_lineshapes': 0.3401496410369873, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.10510635375976562, 'DLM_Distribute_lines': 0.10278487205505371, 'DLM_convolve': 5.700828313827515, 'calc_line_broadening': 6.257565259933472, 'calc_other_spectral_quan': 0.007920265197753906, 'spectrum_calc_before_obj': 6.736222505569458}",0.0,0.9.29,0.3272109031677246,0.3255593776702881,1.1682510375976562e-05,0.0016109943389892578,2.3365020751953125e-05,boltzmann,0.0762937068939209,1.0,6.736222505569458,X,1.0,4398730.0,boltzmann,5.0,11.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210723_Tvib300K_Trot300K_9.spec,0.1490190029144287,2.4080276489257812e-05,0.15253710746765137,6.888255596160889,230000.0,300.0,296.0,300.0,300.0,0.0001456737518310547,0.018764257431030273,cython,300.0,fft,0.09735774993896484,7.573189973831177,0.008264303207397461,0.0076940059661865234,8.39,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CH4-06_HITEMP2020.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1627035661.2122002,radis,3000000.0,0.0,0.0,0.0,1.0,1.0,CH4,CH4_2000_4000_3000000_fft,simple,hapi,1.0,0.3773980140686035,1000.0,"{'_check_line_databank': 0.0001456737518310547, 'reinitialize_1': 0.563955545425415, 'reinitialize_2': 1.9788742065429688e-05, 'reinitialize_3': 0.0016791820526123047, 'reinitialize_4': 2.4080276489257812e-05, 'reinitialize': 0.5656852722167969, 'scaled_eq_linestrength': 0.1189570426940918, 'calc_lineshift': 0.008264303207397461, 'calc_hwhm': 0.09735774993896484, '_generate_wavenumber_arrays': 0.018764257431030273, 'precompute_DLM_lineshapes': 0.3773980140686035, 'DLM_Initialized_vectors': 2.4080276489257812e-05, 'DLM_closest_matching_line': 0.15253710746765137, 'DLM_Distribute_lines': 0.1490190029144287, 'DLM_convolve': 6.888255596160889, 'calc_line_broadening': 7.573189973831177, 'calc_other_spectral_quan': 0.0076940059661865234, 'spectrum_calc_before_obj': 8.390130281448364}",0.0,0.9.29,0.5656852722167969,0.563955545425415,1.9788742065429688e-05,0.0016791820526123047,2.4080276489257812e-05,boltzmann,0.1189570426940918,1.0,8.390130281448364,X,1.0,4398730.0,boltzmann,6.0,11.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
