file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210722_Tvib300K_Trot300K.spec,0.02033400535583496,5.245208740234375e-06,0.003685474395751953,3.1977217197418213,230000.0,300.0,296.0,300.0,300.0,0.0004937648773193359,0.00737762451171875,cython,300.0,fft,0.00766444206237793,3.3791377544403076,0.0013647079467773438,0.00784444808959961,3.42,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951084.104984,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_4000_60000_fft,simple,hapi,1.0,0.1550140380859375,1000.0,"{'_check_line_databank': 0.0004937648773193359, 'reinitialize_1': 0.004347801208496094, 'reinitialize_2': 1.33514404296875e-05, 'reinitialize_3': 0.002327442169189453, 'reinitialize_4': 4.00543212890625e-05, 'reinitialize': 0.006737709045410156, 'scaled_eq_linestrength': 0.014011621475219727, 'calc_lineshift': 0.0013647079467773438, 'calc_hwhm': 0.00766444206237793, '_generate_wavenumber_arrays': 0.00737762451171875, 'precompute_DLM_lineshapes': 0.1550140380859375, 'DLM_Initialized_vectors': 5.245208740234375e-06, 'DLM_closest_matching_line': 0.003685474395751953, 'DLM_Distribute_lines': 0.02033400535583496, 'DLM_convolve': 3.1977217197418213, 'calc_line_broadening': 3.3791377544403076, 'calc_other_spectral_quan': 0.00784444808959961, 'spectrum_calc_before_obj': 3.424712896347046}",0.0,0.9.29,0.006737709045410156,0.004347801208496094,1.33514404296875e-05,0.002327442169189453,4.00543212890625e-05,boltzmann,0.014011621475219727,1.0,3.424712896347046,X,1.0,115755.0,boltzmann,6.0,5.0,0.01,0.01,4000.0,4150.0,2000.0,1850.0,cm-1,0.01,230002.0
20210722_Tvib300K_Trot300K_1.spec,0.019682884216308594,1.0728836059570312e-05,0.0041081905364990234,0.9455709457397461,430000.0,300.0,296.0,300.0,300.0,0.00034332275390625,0.008151531219482422,cython,300.0,fft,0.0038390159606933594,1.2323071956634521,0.0009646415710449219,0.01582503318786621,1.27,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951090.0373142,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_6000_60000_fft,simple,hapi,1.0,0.2561185359954834,1000.0,"{'_check_line_databank': 0.00034332275390625, 'reinitialize_1': 0.0035109519958496094, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0015954971313476562, 'reinitialize_4': 3.147125244140625e-05, 'reinitialize': 0.005154609680175781, 'scaled_eq_linestrength': 0.006666421890258789, 'calc_lineshift': 0.0009646415710449219, 'calc_hwhm': 0.0038390159606933594, '_generate_wavenumber_arrays': 0.008151531219482422, 'precompute_DLM_lineshapes': 0.2561185359954834, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.0041081905364990234, 'DLM_Distribute_lines': 0.019682884216308594, 'DLM_convolve': 0.9455709457397461, 'calc_line_broadening': 1.2323071956634521, 'calc_other_spectral_quan': 0.01582503318786621, 'spectrum_calc_before_obj': 1.2733213901519775}",0.0,0.9.29,0.005154609680175781,0.0035109519958496094,1.0967254638671875e-05,0.0015954971313476562,3.147125244140625e-05,boltzmann,0.006666421890258789,1.0,1.2733213901519775,X,1.0,210572.0,boltzmann,6.0,5.0,0.01,0.01,6000.0,6150.0,2000.0,1850.0,cm-1,0.01,430001.0
20210722_Tvib300K_Trot300K_2.spec,0.019372940063476562,1.239776611328125e-05,0.0047109127044677734,10.715392351150513,630000.0,300.0,296.0,300.0,300.0,0.0003535747528076172,0.01288294792175293,cython,300.0,fft,0.0036132335662841797,11.143832445144653,0.0008399486541748047,0.024901151657104492,11.2,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951108.1423051,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_8000_60000_fft,simple,hapi,1.0,0.39790892601013184,1000.0,"{'_check_line_databank': 0.0003535747528076172, 'reinitialize_1': 0.004614591598510742, 'reinitialize_2': 1.049041748046875e-05, 'reinitialize_3': 0.0021431446075439453, 'reinitialize_4': 3.337860107421875e-05, 'reinitialize': 0.006808280944824219, 'scaled_eq_linestrength': 0.0070421695709228516, 'calc_lineshift': 0.0008399486541748047, 'calc_hwhm': 0.0036132335662841797, '_generate_wavenumber_arrays': 0.01288294792175293, 'precompute_DLM_lineshapes': 0.39790892601013184, 'DLM_Initialized_vectors': 1.239776611328125e-05, 'DLM_closest_matching_line': 0.0047109127044677734, 'DLM_Distribute_lines': 0.019372940063476562, 'DLM_convolve': 10.715392351150513, 'calc_line_broadening': 11.143832445144653, 'calc_other_spectral_quan': 0.024901151657104492, 'spectrum_calc_before_obj': 11.200339794158936}",0.0,0.9.29,0.006808280944824219,0.004614591598510742,1.049041748046875e-05,0.0021431446075439453,3.337860107421875e-05,boltzmann,0.0070421695709228516,1.0,11.200339794158936,X,1.0,301576.0,boltzmann,6.0,5.0,0.01,0.01,8000.0,8150.0,2000.0,1850.0,cm-1,0.01,630001.0
20210722_Tvib300K_Trot300K_3.spec,0.019091129302978516,1.1205673217773438e-05,0.0045833587646484375,5.729505300521851,830000.0,300.0,296.0,300.0,300.0,0.0003361701965332031,0.015600442886352539,cython,300.0,fft,0.0040569305419921875,6.276932001113892,0.0010151863098144531,0.034467458724975586,6.34,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951124.5591824,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_10000_60000_fft,simple,hapi,1.0,0.5157718658447266,1000.0,"{'_check_line_databank': 0.0003361701965332031, 'reinitialize_1': 0.0029876232147216797, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0016167163848876953, 'reinitialize_4': 3.0040740966796875e-05, 'reinitialize': 0.004651308059692383, 'scaled_eq_linestrength': 0.007123708724975586, 'calc_lineshift': 0.0010151863098144531, 'calc_hwhm': 0.0040569305419921875, '_generate_wavenumber_arrays': 0.015600442886352539, 'precompute_DLM_lineshapes': 0.5157718658447266, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.0045833587646484375, 'DLM_Distribute_lines': 0.019091129302978516, 'DLM_convolve': 5.729505300521851, 'calc_line_broadening': 6.276932001113892, 'calc_other_spectral_quan': 0.034467458724975586, 'spectrum_calc_before_obj': 6.34424901008606}",0.0,0.9.29,0.004651308059692383,0.0029876232147216797,1.1205673217773438e-05,0.0016167163848876953,3.0040740966796875e-05,boltzmann,0.007123708724975586,1.0,6.34424901008606,X,1.0,389355.0,boltzmann,6.0,5.0,0.01,0.01,10000.0,10150.0,2000.0,1850.0,cm-1,0.01,830001.0
20210722_Tvib300K_Trot300K_4.spec,0.019459009170532227,1.1682510375976562e-05,0.0053560733795166016,9.994539737701416,1030000.0,300.0,296.0,300.0,300.0,0.00034332275390625,0.018381357192993164,cython,300.0,fft,0.0033845901489257812,10.722652435302734,0.0007979869842529297,0.04288840293884277,10.8,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951147.9123974,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_12000_60000_fft,simple,hapi,1.0,0.6940476894378662,1000.0,"{'_check_line_databank': 0.00034332275390625, 'reinitialize_1': 0.0034880638122558594, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016245841979980469, 'reinitialize_4': 3.0517578125e-05, 'reinitialize': 0.00516057014465332, 'scaled_eq_linestrength': 0.006749391555786133, 'calc_lineshift': 0.0007979869842529297, 'calc_hwhm': 0.0033845901489257812, '_generate_wavenumber_arrays': 0.018381357192993164, 'precompute_DLM_lineshapes': 0.6940476894378662, 'DLM_Initialized_vectors': 1.1682510375976562e-05, 'DLM_closest_matching_line': 0.0053560733795166016, 'DLM_Distribute_lines': 0.019459009170532227, 'DLM_convolve': 9.994539737701416, 'calc_line_broadening': 10.722652435302734, 'calc_other_spectral_quan': 0.04288840293884277, 'spectrum_calc_before_obj': 10.80046010017395}",0.0,0.9.29,0.00516057014465332,0.0034880638122558594,1.0728836059570312e-05,0.0016245841979980469,3.0517578125e-05,boltzmann,0.006749391555786133,1.0,10.80046010017395,X,1.0,471366.0,boltzmann,6.0,5.0,0.01,0.01,12000.0,12150.0,2000.0,1850.0,cm-1,0.01,1030001.0
20210722_Tvib300K_Trot300K_5.spec,0.019406557083129883,1.0728836059570312e-05,0.00507044792175293,22.3845112323761,1230000.0,300.0,296.0,300.0,300.0,0.0015435218811035156,0.022347211837768555,cython,300.0,fft,0.004332542419433594,23.185951232910156,0.0010046958923339844,0.05211949348449707,23.29,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951187.0423503,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_14000_60000_fft,simple,hapi,1.0,0.7683472633361816,1000.0,"{'_check_line_databank': 0.0015435218811035156, 'reinitialize_1': 0.00757145881652832, 'reinitialize_2': 2.574920654296875e-05, 'reinitialize_3': 0.003537416458129883, 'reinitialize_4': 6.818771362304688e-05, 'reinitialize': 0.011217117309570312, 'scaled_eq_linestrength': 0.010446786880493164, 'calc_lineshift': 0.0010046958923339844, 'calc_hwhm': 0.004332542419433594, '_generate_wavenumber_arrays': 0.022347211837768555, 'precompute_DLM_lineshapes': 0.7683472633361816, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.00507044792175293, 'DLM_Distribute_lines': 0.019406557083129883, 'DLM_convolve': 22.3845112323761, 'calc_line_broadening': 23.185951232910156, 'calc_other_spectral_quan': 0.05211949348449707, 'spectrum_calc_before_obj': 23.289066791534424}",0.0,0.9.29,0.011217117309570312,0.00757145881652832,2.574920654296875e-05,0.003537416458129883,6.818771362304688e-05,boltzmann,0.010446786880493164,1.0,23.289066791534424,X,1.0,543823.0,boltzmann,6.0,5.0,0.01,0.01,14000.0,14150.0,2000.0,1850.0,cm-1,0.01,1230001.0
20210722_Tvib300K_Trot300K_6.spec,0.019043684005737305,1.1682510375976562e-05,0.005389690399169922,25.38974642753601,1430000.0,300.0,296.0,300.0,300.0,0.0003390312194824219,0.024102449417114258,cython,300.0,fft,0.003602743148803711,26.328311681747437,0.0008347034454345703,0.06212186813354492,26.43,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951235.0406134,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_16000_60000_fft,simple,hapi,1.0,0.9067683219909668,1000.0,"{'_check_line_databank': 0.0003390312194824219, 'reinitialize_1': 0.0032770633697509766, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016405582427978516, 'reinitialize_4': 3.075599670410156e-05, 'reinitialize': 0.0049648284912109375, 'scaled_eq_linestrength': 0.006845951080322266, 'calc_lineshift': 0.0008347034454345703, 'calc_hwhm': 0.003602743148803711, '_generate_wavenumber_arrays': 0.024102449417114258, 'precompute_DLM_lineshapes': 0.9067683219909668, 'DLM_Initialized_vectors': 1.1682510375976562e-05, 'DLM_closest_matching_line': 0.005389690399169922, 'DLM_Distribute_lines': 0.019043684005737305, 'DLM_convolve': 25.38974642753601, 'calc_line_broadening': 26.328311681747437, 'calc_other_spectral_quan': 0.06212186813354492, 'spectrum_calc_before_obj': 26.43118715286255}",0.0,0.9.29,0.0049648284912109375,0.0032770633697509766,1.0728836059570312e-05,0.0016405582427978516,3.075599670410156e-05,boltzmann,0.006845951080322266,1.0,26.43118715286255,X,1.0,597654.0,boltzmann,6.0,5.0,0.01,0.01,16000.0,16150.0,2000.0,1850.0,cm-1,0.01,1430001.0
20210722_Tvib300K_Trot300K_7.spec,0.01920294761657715,1.1205673217773438e-05,0.005664348602294922,28.33119034767151,1630000.0,300.0,296.0,300.0,300.0,0.0003383159637451172,0.030950069427490234,cython,300.0,fft,0.0036225318908691406,29.40206551551819,0.0007963180541992188,0.0673360824584961,29.52,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951285.6388552,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_18000_60000_fft,simple,hapi,1.0,1.0387756824493408,1000.0,"{'_check_line_databank': 0.0003383159637451172, 'reinitialize_1': 0.0030374526977539062, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0016009807586669922, 'reinitialize_4': 3.0279159545898438e-05, 'reinitialize': 0.004684925079345703, 'scaled_eq_linestrength': 0.007274150848388672, 'calc_lineshift': 0.0007963180541992188, 'calc_hwhm': 0.0036225318908691406, '_generate_wavenumber_arrays': 0.030950069427490234, 'precompute_DLM_lineshapes': 1.0387756824493408, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.005664348602294922, 'DLM_Distribute_lines': 0.01920294761657715, 'DLM_convolve': 28.33119034767151, 'calc_line_broadening': 29.40206551551819, 'calc_other_spectral_quan': 0.0673360824584961, 'spectrum_calc_before_obj': 29.517156839370728}",0.0,0.9.29,0.004684925079345703,0.0030374526977539062,1.0967254638671875e-05,0.0016009807586669922,3.0279159545898438e-05,boltzmann,0.007274150848388672,1.0,29.517156839370728,X,1.0,631550.0,boltzmann,6.0,5.0,0.01,0.01,18000.0,18150.0,2000.0,1850.0,cm-1,0.01,1630001.0
20210722_Tvib300K_Trot300K_8.spec,0.019782543182373047,1.1920928955078125e-05,0.006204128265380859,10.600226163864136,1830000.0,300.0,296.0,300.0,300.0,0.0003421306610107422,0.031822919845581055,cython,300.0,fft,0.003802061080932617,11.834965229034424,0.0008652210235595703,0.07507443428039551,11.96,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951322.1403883,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_20000_60000_fft,simple,hapi,1.0,1.1981265544891357,1000.0,"{'_check_line_databank': 0.0003421306610107422, 'reinitialize_1': 0.003085613250732422, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016326904296875, 'reinitialize_4': 3.0279159545898438e-05, 'reinitialize': 0.004765033721923828, 'scaled_eq_linestrength': 0.006972551345825195, 'calc_lineshift': 0.0008652210235595703, 'calc_hwhm': 0.003802061080932617, '_generate_wavenumber_arrays': 0.031822919845581055, 'precompute_DLM_lineshapes': 1.1981265544891357, 'DLM_Initialized_vectors': 1.1920928955078125e-05, 'DLM_closest_matching_line': 0.006204128265380859, 'DLM_Distribute_lines': 0.019782543182373047, 'DLM_convolve': 10.600226163864136, 'calc_line_broadening': 11.834965229034424, 'calc_other_spectral_quan': 0.07507443428039551, 'spectrum_calc_before_obj': 11.95867657661438}",0.0,0.9.29,0.004765033721923828,0.003085613250732422,1.0728836059570312e-05,0.0016326904296875,3.0279159545898438e-05,boltzmann,0.006972551345825195,1.0,11.95867657661438,X,1.0,648238.0,boltzmann,6.0,5.0,0.01,0.01,20000.0,20150.0,2000.0,1850.0,cm-1,0.01,1830001.0
20210722_Tvib300K_Trot300K_9.spec,0.019359827041625977,1.1205673217773438e-05,0.006548881530761719,36.21286129951477,2030000.0,300.0,296.0,300.0,300.0,0.0003428459167480469,0.03858041763305664,cython,300.0,fft,0.0036826133728027344,37.581183195114136,0.0009450912475585938,0.08515596389770508,37.72,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626951386.294928,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_22000_60000_fft,simple,hapi,1.0,1.3336505889892578,1000.0,"{'_check_line_databank': 0.0003428459167480469, 'reinitialize_1': 0.0030977725982666016, 'reinitialize_2': 1.049041748046875e-05, 'reinitialize_3': 0.00159454345703125, 'reinitialize_4': 2.9802322387695312e-05, 'reinitialize': 0.0047380924224853516, 'scaled_eq_linestrength': 0.006675243377685547, 'calc_lineshift': 0.0009450912475585938, 'calc_hwhm': 0.0036826133728027344, '_generate_wavenumber_arrays': 0.03858041763305664, 'precompute_DLM_lineshapes': 1.3336505889892578, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.006548881530761719, 'DLM_Distribute_lines': 0.019359827041625977, 'DLM_convolve': 36.21286129951477, 'calc_line_broadening': 37.581183195114136, 'calc_other_spectral_quan': 0.08515596389770508, 'spectrum_calc_before_obj': 37.7213659286499}",0.0,0.9.29,0.0047380924224853516,0.0030977725982666016,1.049041748046875e-05,0.00159454345703125,2.9802322387695312e-05,boltzmann,0.006675243377685547,1.0,37.7213659286499,X,1.0,652868.0,boltzmann,6.0,5.0,0.01,0.01,22000.0,22150.0,2000.0,1850.0,cm-1,0.01,2030001.0
