file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210721_Tvib300K_Trot300K.spec,0.0004172325134277344,5.245208740234375e-06,0.0007710456848144531,0.09128904342651367,22000.0,300.0,296.0,300.0,300.0,0.0006318092346191406,0.0008053779602050781,cython,20.0,voigt,0.00899648666381836,0.09554052352905273,0.001085519790649414,0.0016677379608154297,0.12,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890191.8194664,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.002640247344970703,1000.0,"{'_check_line_databank': 0.0006318092346191406, 'reinitialize_1': 0.0006504058837890625, 'reinitialize_2': 1.811981201171875e-05, 'reinitialize_3': 0.0027887821197509766, 'reinitialize_4': 3.218650817871094e-05, 'reinitialize': 0.003498554229736328, 'scaled_eq_linestrength': 0.01125645637512207, 'calc_lineshift': 0.001085519790649414, 'calc_hwhm': 0.00899648666381836, '_generate_wavenumber_arrays': 0.0008053779602050781, 'precompute_DLM_lineshapes': 0.002640247344970703, 'DLM_Initialized_vectors': 5.245208740234375e-06, 'DLM_closest_matching_line': 0.0007710456848144531, 'DLM_Distribute_lines': 0.0004172325134277344, 'DLM_convolve': 0.09128904342651367, 'calc_line_broadening': 0.09554052352905273, 'calc_other_spectral_quan': 0.0016677379608154297, 'spectrum_calc_before_obj': 0.12356805801391602}",0.0,0.9.29,0.003498554229736328,0.0006504058837890625,1.811981201171875e-05,0.0027887821197509766,3.218650817871094e-05,boltzmann,0.01125645637512207,1.0,0.12356805801391602,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2210.0,2000.0,1990.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_1.spec,0.0016617774963378906,1.0728836059570312e-05,0.0006608963012695312,0.22038936614990234,24000.0,300.0,296.0,300.0,300.0,0.0003685951232910156,0.0009093284606933594,cython,40.0,voigt,0.008121490478515625,0.2274034023284912,0.0007143020629882812,0.0014073848724365234,0.25,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890192.4116874,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.004139423370361328,1000.0,"{'_check_line_databank': 0.0003685951232910156, 'reinitialize_1': 0.0010843276977539062, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0014123916625976562, 'reinitialize_4': 4.6253204345703125e-05, 'reinitialize': 0.0025599002838134766, 'scaled_eq_linestrength': 0.006111860275268555, 'calc_lineshift': 0.0007143020629882812, 'calc_hwhm': 0.008121490478515625, '_generate_wavenumber_arrays': 0.0009093284606933594, 'precompute_DLM_lineshapes': 0.004139423370361328, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.0006608963012695312, 'DLM_Distribute_lines': 0.0016617774963378906, 'DLM_convolve': 0.22038936614990234, 'calc_line_broadening': 0.2274034023284912, 'calc_other_spectral_quan': 0.0014073848724365234, 'spectrum_calc_before_obj': 0.24766874313354492}",0.0,0.9.29,0.0025599002838134766,0.0010843276977539062,1.0728836059570312e-05,0.0014123916625976562,4.6253204345703125e-05,boltzmann,0.006111860275268555,1.0,0.24766874313354492,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2220.0,2000.0,1980.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_2.spec,0.00041365623474121094,8.106231689453125e-06,0.000667572021484375,0.39902591705322266,26000.0,300.0,296.0,300.0,300.0,0.0005588531494140625,0.0009298324584960938,cython,60.0,voigt,0.009978294372558594,0.4059288501739502,0.0008199214935302734,0.0014331340789794922,0.43,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890193.1759624,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.005381107330322266,1000.0,"{'_check_line_databank': 0.0005588531494140625, 'reinitialize_1': 0.0006203651428222656, 'reinitialize_2': 1.6689300537109375e-05, 'reinitialize_3': 0.0018041133880615234, 'reinitialize_4': 5.364418029785156e-05, 'reinitialize': 0.002504110336303711, 'scaled_eq_linestrength': 0.00851893424987793, 'calc_lineshift': 0.0008199214935302734, 'calc_hwhm': 0.009978294372558594, '_generate_wavenumber_arrays': 0.0009298324584960938, 'precompute_DLM_lineshapes': 0.005381107330322266, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.000667572021484375, 'DLM_Distribute_lines': 0.00041365623474121094, 'DLM_convolve': 0.39902591705322266, 'calc_line_broadening': 0.4059288501739502, 'calc_other_spectral_quan': 0.0014331340789794922, 'spectrum_calc_before_obj': 0.43076157569885254}",0.0,0.9.29,0.002504110336303711,0.0006203651428222656,1.6689300537109375e-05,0.0018041133880615234,5.364418029785156e-05,boltzmann,0.00851893424987793,1.0,0.43076157569885254,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2230.0,2000.0,1970.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_3.spec,0.00044035911560058594,1.3589859008789062e-05,0.0006928443908691406,0.49877119064331055,28000.0,300.0,296.0,300.0,300.0,0.0003712177276611328,0.0009126663208007812,cython,80.0,voigt,0.008203983306884766,0.5068116188049316,0.0007755756378173828,0.0015897750854492188,0.53,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890194.0322547,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.006376028060913086,1000.0,"{'_check_line_databank': 0.0003712177276611328, 'reinitialize_1': 0.000644683837890625, 'reinitialize_2': 1.1682510375976562e-05, 'reinitialize_3': 0.0012240409851074219, 'reinitialize_4': 3.8623809814453125e-05, 'reinitialize': 0.0019268989562988281, 'scaled_eq_linestrength': 0.005277156829833984, 'calc_lineshift': 0.0007755756378173828, 'calc_hwhm': 0.008203983306884766, '_generate_wavenumber_arrays': 0.0009126663208007812, 'precompute_DLM_lineshapes': 0.006376028060913086, 'DLM_Initialized_vectors': 1.3589859008789062e-05, 'DLM_closest_matching_line': 0.0006928443908691406, 'DLM_Distribute_lines': 0.00044035911560058594, 'DLM_convolve': 0.49877119064331055, 'calc_line_broadening': 0.5068116188049316, 'calc_other_spectral_quan': 0.0015897750854492188, 'spectrum_calc_before_obj': 0.5259363651275635}",0.0,0.9.29,0.0019268989562988281,0.000644683837890625,1.1682510375976562e-05,0.0012240409851074219,3.8623809814453125e-05,boltzmann,0.005277156829833984,1.0,0.5259363651275635,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2240.0,2000.0,1960.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_4.spec,0.0004315376281738281,7.867813110351562e-06,0.0006208419799804688,2.147481679916382,30000.0,300.0,296.0,300.0,300.0,0.00033402442932128906,0.0010144710540771484,cython,100.0,voigt,0.00894021987915039,2.1565968990325928,0.001538991928100586,0.0034646987915039062,2.18,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890196.537015,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.00735163688659668,1000.0,"{'_check_line_databank': 0.00033402442932128906, 'reinitialize_1': 0.0005636215209960938, 'reinitialize_2': 1.239776611328125e-05, 'reinitialize_3': 0.0015375614166259766, 'reinitialize_4': 4.0531158447265625e-05, 'reinitialize': 0.0021619796752929688, 'scaled_eq_linestrength': 0.006908416748046875, 'calc_lineshift': 0.001538991928100586, 'calc_hwhm': 0.00894021987915039, '_generate_wavenumber_arrays': 0.0010144710540771484, 'precompute_DLM_lineshapes': 0.00735163688659668, 'DLM_Initialized_vectors': 7.867813110351562e-06, 'DLM_closest_matching_line': 0.0006208419799804688, 'DLM_Distribute_lines': 0.0004315376281738281, 'DLM_convolve': 2.147481679916382, 'calc_line_broadening': 2.1565968990325928, 'calc_other_spectral_quan': 0.0034646987915039062, 'spectrum_calc_before_obj': 2.1810426712036133}",0.0,0.9.29,0.0021619796752929688,0.0005636215209960938,1.239776611328125e-05,0.0015375614166259766,4.0531158447265625e-05,boltzmann,0.006908416748046875,1.0,2.1810426712036133,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2250.0,2000.0,1950.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_5.spec,0.0015268325805664062,1.0251998901367188e-05,0.0005924701690673828,1.9734740257263184,32000.0,300.0,296.0,300.0,300.0,0.0003399848937988281,0.001069784164428711,cython,120.0,voigt,0.009929180145263672,1.9855995178222656,0.0007882118225097656,0.0035619735717773438,2.01,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890198.8936267,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.009466886520385742,1000.0,"{'_check_line_databank': 0.0003399848937988281, 'reinitialize_1': 0.0008130073547363281, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.001317739486694336, 'reinitialize_4': 3.695487976074219e-05, 'reinitialize': 0.0021860599517822266, 'scaled_eq_linestrength': 0.006003379821777344, 'calc_lineshift': 0.0007882118225097656, 'calc_hwhm': 0.009929180145263672, '_generate_wavenumber_arrays': 0.001069784164428711, 'precompute_DLM_lineshapes': 0.009466886520385742, 'DLM_Initialized_vectors': 1.0251998901367188e-05, 'DLM_closest_matching_line': 0.0005924701690673828, 'DLM_Distribute_lines': 0.0015268325805664062, 'DLM_convolve': 1.9734740257263184, 'calc_line_broadening': 1.9855995178222656, 'calc_other_spectral_quan': 0.0035619735717773438, 'spectrum_calc_before_obj': 2.0095584392547607}",0.0,0.9.29,0.0021860599517822266,0.0008130073547363281,1.0967254638671875e-05,0.001317739486694336,3.695487976074219e-05,boltzmann,0.006003379821777344,1.0,2.0095584392547607,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2260.0,2000.0,1940.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_6.spec,0.0004532337188720703,1.1444091796875e-05,0.0007126331329345703,3.3019521236419678,34000.0,300.0,296.0,300.0,300.0,0.0003693103790283203,0.000980377197265625,cython,140.0,voigt,0.008204936981201172,3.3145768642425537,0.0007724761962890625,0.003690004348754883,3.34,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890202.5744061,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.011181354522705078,1000.0,"{'_check_line_databank': 0.0003693103790283203, 'reinitialize_1': 0.0006082057952880859, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0013127326965332031, 'reinitialize_4': 4.458427429199219e-05, 'reinitialize': 0.0019838809967041016, 'scaled_eq_linestrength': 0.006185293197631836, 'calc_lineshift': 0.0007724761962890625, 'calc_hwhm': 0.008204936981201172, '_generate_wavenumber_arrays': 0.000980377197265625, 'precompute_DLM_lineshapes': 0.011181354522705078, 'DLM_Initialized_vectors': 1.1444091796875e-05, 'DLM_closest_matching_line': 0.0007126331329345703, 'DLM_Distribute_lines': 0.0004532337188720703, 'DLM_convolve': 3.3019521236419678, 'calc_line_broadening': 3.3145768642425537, 'calc_other_spectral_quan': 0.003690004348754883, 'spectrum_calc_before_obj': 3.336853504180908}",0.0,0.9.29,0.0019838809967041016,0.0006082057952880859,1.0728836059570312e-05,0.0013127326965332031,4.458427429199219e-05,boltzmann,0.006185293197631836,1.0,3.336853504180908,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2270.0,2000.0,1930.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_7.spec,0.0015685558319091797,7.62939453125e-06,0.0006186962127685547,2.4544310569763184,36000.0,300.0,296.0,300.0,300.0,0.0003380775451660156,0.0011353492736816406,cython,160.0,voigt,0.010493755340576172,2.4688260555267334,0.0045163631439208984,0.0033648014068603516,2.5,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890205.4108891,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.011718511581420898,1000.0,"{'_check_line_databank': 0.0003380775451660156, 'reinitialize_1': 0.00042629241943359375, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0011773109436035156, 'reinitialize_4': 3.790855407714844e-05, 'reinitialize': 0.0016591548919677734, 'scaled_eq_linestrength': 0.006134748458862305, 'calc_lineshift': 0.0045163631439208984, 'calc_hwhm': 0.010493755340576172, '_generate_wavenumber_arrays': 0.0011353492736816406, 'precompute_DLM_lineshapes': 0.011718511581420898, 'DLM_Initialized_vectors': 7.62939453125e-06, 'DLM_closest_matching_line': 0.0006186962127685547, 'DLM_Distribute_lines': 0.0015685558319091797, 'DLM_convolve': 2.4544310569763184, 'calc_line_broadening': 2.4688260555267334, 'calc_other_spectral_quan': 0.0033648014068603516, 'spectrum_calc_before_obj': 2.4965426921844482}",0.0,0.9.29,0.0016591548919677734,0.00042629241943359375,1.0967254638671875e-05,0.0011773109436035156,3.790855407714844e-05,boltzmann,0.006134748458862305,1.0,2.4965426921844482,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2280.0,2000.0,1920.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_8.spec,0.0017235279083251953,1.5497207641601562e-05,0.0008115768432617188,3.4386935234069824,38000.0,300.0,296.0,300.0,300.0,0.00037026405334472656,0.0011143684387207031,cython,180.0,voigt,0.008040189743041992,3.4550724029541016,0.0007965564727783203,0.00354766845703125,3.48,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890209.2354093,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.013218402862548828,1000.0,"{'_check_line_databank': 0.00037026405334472656, 'reinitialize_1': 0.0005548000335693359, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0012204647064208984, 'reinitialize_4': 3.838539123535156e-05, 'reinitialize': 0.0018315315246582031, 'scaled_eq_linestrength': 0.0052661895751953125, 'calc_lineshift': 0.0007965564727783203, 'calc_hwhm': 0.008040189743041992, '_generate_wavenumber_arrays': 0.0011143684387207031, 'precompute_DLM_lineshapes': 0.013218402862548828, 'DLM_Initialized_vectors': 1.5497207641601562e-05, 'DLM_closest_matching_line': 0.0008115768432617188, 'DLM_Distribute_lines': 0.0017235279083251953, 'DLM_convolve': 3.4386935234069824, 'calc_line_broadening': 3.4550724029541016, 'calc_other_spectral_quan': 0.00354766845703125, 'spectrum_calc_before_obj': 3.4761099815368652}",0.0,0.9.29,0.0018315315246582031,0.0005548000335693359,1.1205673217773438e-05,0.0012204647064208984,3.838539123535156e-05,boltzmann,0.0052661895751953125,1.0,3.4761099815368652,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2290.0,2000.0,1910.0,cm-1,0.01,22002.0
20210721_Tvib300K_Trot300K_9.spec,0.0016107559204101562,1.0013580322265625e-05,0.0007066726684570312,2.591632843017578,40000.0,300.0,296.0,300.0,300.0,0.00035119056701660156,0.0009012222290039062,cython,200.0,voigt,0.007470846176147461,2.6092042922973633,0.0006899833679199219,0.004077434539794922,2.63,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1626890212.211729,radis,10712.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_2200_10712_voigt,simple,hapi,1.0,0.014679670333862305,1000.0,"{'_check_line_databank': 0.00035119056701660156, 'reinitialize_1': 0.0005002021789550781, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0012042522430419922, 'reinitialize_4': 3.7670135498046875e-05, 'reinitialize': 0.0017597675323486328, 'scaled_eq_linestrength': 0.005232095718383789, 'calc_lineshift': 0.0006899833679199219, 'calc_hwhm': 0.007470846176147461, '_generate_wavenumber_arrays': 0.0009012222290039062, 'precompute_DLM_lineshapes': 0.014679670333862305, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.0007066726684570312, 'DLM_Distribute_lines': 0.0016107559204101562, 'DLM_convolve': 2.591632843017578, 'calc_line_broadening': 2.6092042922973633, 'calc_other_spectral_quan': 0.004077434539794922, 'spectrum_calc_before_obj': 2.629755973815918}",0.0,0.9.29,0.0017597675323486328,0.0005002021789550781,1.0967254638671875e-05,0.0012042522430419922,3.7670135498046875e-05,boltzmann,0.005232095718383789,1.0,2.629755973815918,X,1.0,10712.0,boltzmann,3.0,5.0,0.01,0.01,2200.0,2300.0,2000.0,1900.0,cm-1,0.01,22002.0
