file,Tgas,Tref,Trot,Tvib,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,parfuncfmt,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210701_Tvib3000K_Trot3000K.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,0.3,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098290.4353216,radis,2000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_2000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.003502368927001953, 'calc_lineshift': 0.0004916191101074219, 'calc_hwhm': 0.00400233268737793, 'init_vectors': 0.011003732681274414, 'voigt_broadening': 0.2161409854888916, 'init_vectors_apply': 0.0050313472747802734, 'get_matching_line': 0.0011332035064697266, 'aggregate__center_lines': 0.025110483169555664, 'aggregate_wing_lines': 0.005226612091064453, 'calc_line_broadening': 0.26406407356262207, 'calc_other_spectral_quan': 0.015009403228759766, 'spectrum_calc_before_obj': 0.2963709831237793}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_1.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,0.55,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098295.2170086,radis,4000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_4000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.003428220748901367, 'calc_lineshift': 0.0004942417144775391, 'calc_hwhm': 0.004212856292724609, 'init_vectors': 0.021598100662231445, 'voigt_broadening': 0.42539262771606445, 'init_vectors_apply': 0.011586189270019531, 'get_matching_line': 0.0005805492401123047, 'aggregate__center_lines': 0.05140852928161621, 'aggregate_wing_lines': 0.003924846649169922, 'calc_line_broadening': 0.5180716514587402, 'calc_other_spectral_quan': 0.014619588851928711, 'spectrum_calc_before_obj': 0.550969123840332}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_2.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,0.8,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098300.0336711,radis,6000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_6000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.0034990310668945312, 'calc_lineshift': 0.0005004405975341797, 'calc_hwhm': 0.007427215576171875, 'init_vectors': 0.03234410285949707, 'voigt_broadening': 0.6352713108062744, 'init_vectors_apply': 0.015982627868652344, 'get_matching_line': 0.0006186962127685547, 'aggregate__center_lines': 0.07555699348449707, 'aggregate_wing_lines': 0.0036482810974121094, 'calc_line_broadening': 0.768200159072876, 'calc_other_spectral_quan': 0.014562129974365234, 'spectrum_calc_before_obj': 0.8049306869506836}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_3.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,1.06,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098305.1297503,radis,8000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_8000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.0036916732788085938, 'calc_lineshift': 0.0004999637603759766, 'calc_hwhm': 0.007673978805541992, 'init_vectors': 0.04295206069946289, 'voigt_broadening': 0.8405263423919678, 'init_vectors_apply': 0.02141571044921875, 'get_matching_line': 0.0007231235504150391, 'aggregate__center_lines': 0.10661840438842773, 'aggregate_wing_lines': 0.0038580894470214844, 'calc_line_broadening': 1.0220847129821777, 'calc_other_spectral_quan': 0.014398336410522461, 'spectrum_calc_before_obj': 1.0600852966308594}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_4.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,1.29,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098310.4573407,radis,10000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_10000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.0036339759826660156, 'calc_lineshift': 0.0005006790161132812, 'calc_hwhm': 0.0076465606689453125, 'init_vectors': 0.039266109466552734, 'voigt_broadening': 1.0548651218414307, 'init_vectors_apply': 0.023264408111572266, 'get_matching_line': 0.0008246898651123047, 'aggregate__center_lines': 0.12572026252746582, 'aggregate_wing_lines': 0.0036635398864746094, 'calc_line_broadening': 1.2549080848693848, 'calc_other_spectral_quan': 0.014546632766723633, 'spectrum_calc_before_obj': 1.2934150695800781}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_5.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,1.59,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098316.5608616,radis,12000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_12000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.009536981582641602, 'calc_lineshift': 0.0009965896606445312, 'calc_hwhm': 0.00896906852722168, 'init_vectors': 0.0493319034576416, 'voigt_broadening': 1.288240671157837, 'init_vectors_apply': 0.029174327850341797, 'get_matching_line': 0.001077890396118164, 'aggregate__center_lines': 0.16058659553527832, 'aggregate_wing_lines': 0.0039520263671875, 'calc_line_broadening': 1.5409517288208008, 'calc_other_spectral_quan': 0.015171289443969727, 'spectrum_calc_before_obj': 1.5890305042266846}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_6.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,1.8,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098322.599915,radis,14000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_14000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.009340524673461914, 'calc_lineshift': 0.0008559226989746094, 'calc_hwhm': 0.008104562759399414, 'init_vectors': 0.05492734909057617, 'voigt_broadening': 1.4681620597839355, 'init_vectors_apply': 0.03427457809448242, 'get_matching_line': 0.0010459423065185547, 'aggregate__center_lines': 0.18215084075927734, 'aggregate_wing_lines': 0.003627777099609375, 'calc_line_broadening': 1.7543838024139404, 'calc_other_spectral_quan': 0.014607906341552734, 'spectrum_calc_before_obj': 1.800865888595581}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_7.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,2.11,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098328.95882,radis,16000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_16000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.005728483200073242, 'calc_lineshift': 0.0007843971252441406, 'calc_hwhm': 0.011717796325683594, 'init_vectors': 0.06525135040283203, 'voigt_broadening': 1.7139031887054443, 'init_vectors_apply': 0.03837275505065918, 'get_matching_line': 0.0012097358703613281, 'aggregate__center_lines': 0.22743010520935059, 'aggregate_wing_lines': 0.004174232482910156, 'calc_line_broadening': 2.0615882873535156, 'calc_other_spectral_quan': 0.014582157135009766, 'spectrum_calc_before_obj': 2.109077215194702}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_8.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,2.41,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098335.967291,radis,18000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_18000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.005766391754150391, 'calc_lineshift': 0.0009670257568359375, 'calc_hwhm': 0.011687278747558594, 'init_vectors': 0.07744765281677246, 'voigt_broadening': 1.9573078155517578, 'init_vectors_apply': 0.04799175262451172, 'get_matching_line': 0.001806497573852539, 'aggregate__center_lines': 0.259354829788208, 'aggregate_wing_lines': 0.0036001205444335938, 'calc_line_broadening': 2.3610429763793945, 'calc_other_spectral_quan': 0.01561284065246582, 'spectrum_calc_before_obj': 2.4105615615844727}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
20210701_Tvib3000K_Trot3000K_9.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,2.57,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625098342.8439891,radis,20000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_3900_20000,hapi,1.0,1000.0,"{'scaled_eq_lineshift': 0.0058820247650146484, 'calc_lineshift': 0.0008170604705810547, 'calc_hwhm': 0.011603832244873047, 'init_vectors': 0.08023810386657715, 'voigt_broadening': 2.0957858562469482, 'init_vectors_apply': 0.04657793045043945, 'get_matching_line': 0.0013527870178222656, 'aggregate__center_lines': 0.2754969596862793, 'aggregate_wing_lines': 0.004004478454589844, 'calc_line_broadening': 2.5171079635620117, 'calc_other_spectral_quan': 0.014538288116455078, 'spectrum_calc_before_obj': 2.56561279296875}",0.0,0.9.29,boltzmann,1.0,X,1.0,94713.0,boltzmann,0.01,0.01,3900.0,3905.0,2000.0,1995.0,cm-1,0.005,382001.0
