file,Tgas,Tref,Trot,Tvib,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,parfuncfmt,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding
20210629_Tvib300K_Trot300K.spec,300.0,296.0,300.0,300.0,10.0,voigt,2.04,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1624920616.900428,radis,27046.0,0.0,0.0,0.0,1.0,1.0,CO,CO_4.3_5.5,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.00662684440612793, 'calc_lineshift': 0.0007462501525878906, 'calc_hwhm': 0.009229660034179688, 'init_vectors': 0.06363320350646973, 'voigt_broadening': 1.630540370941162, 'init_vectors_apply': 0.03990674018859863, 'get_matching_line': 0.0013697147369384766, 'aggregate__center_lines': 0.2673757076263428, 'aggregate_wing_lines': 0.005567073822021484, 'calc_line_broadening': 2.019378900527954, 'calc_other_spectral_quan': 0.0029494762420654297, 'spectrum_calc_before_obj': 2.04250431060791}",0.0,0.9.29,boltzmann,1.0,X,1.0,27046.0,boltzmann,0.01,0.01,2324.9473752583617,2329.9473752583617,1817.6861883520196,1812.6861883520196,cm-1,0.008999999999999925,57476.0
20210629_Tvib300K_Trot300K_1.spec,300.0,296.0,300.0,300.0,10.0,voigt,2.3,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1624920619.9715745,radis,27046.0,0.0,0.0,0.0,1.0,1.0,CO,CO_4.3_5.5,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007117271423339844, 'calc_lineshift': 0.0007462501525878906, 'calc_hwhm': 0.009161710739135742, 'init_vectors': 0.07711076736450195, 'voigt_broadening': 1.8654732704162598, 'init_vectors_apply': 0.04019570350646973, 'get_matching_line': 0.0014615058898925781, 'aggregate__center_lines': 0.2732844352722168, 'aggregate_wing_lines': 0.005319833755493164, 'calc_line_broadening': 2.2745747566223145, 'calc_other_spectral_quan': 0.0031774044036865234, 'spectrum_calc_before_obj': 2.299680471420288}",0.0,0.9.29,boltzmann,1.0,X,1.0,27046.0,boltzmann,0.01,0.01,2324.9473752583617,2329.9473752583617,1817.6861883520196,1812.6861883520196,cm-1,0.007999999999999924,57476.0
20210629_Tvib300K_Trot300K_2.spec,300.0,296.0,300.0,300.0,10.0,voigt,2.5,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1624920623.2908072,radis,27046.0,0.0,0.0,0.0,1.0,1.0,CO,CO_4.3_5.5,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007004737854003906, 'calc_lineshift': 0.0008442401885986328, 'calc_hwhm': 0.008307218551635742, 'init_vectors': 0.08176088333129883, 'voigt_broadening': 2.0349981784820557, 'init_vectors_apply': 0.0476381778717041, 'get_matching_line': 0.0014221668243408203, 'aggregate__center_lines': 0.28739380836486816, 'aggregate_wing_lines': 0.005853891372680664, 'calc_line_broadening': 2.471717119216919, 'calc_other_spectral_quan': 0.003437042236328125, 'spectrum_calc_before_obj': 2.4964239597320557}",0.0,0.9.29,boltzmann,1.0,X,1.0,27046.0,boltzmann,0.01,0.01,2324.9473752583617,2329.9473752583617,1817.6861883520196,1812.6861883520196,cm-1,0.006999999999999923,57476.0
20210629_Tvib300K_Trot300K_3.spec,300.0,296.0,300.0,300.0,10.0,voigt,2.89,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1624920627.102083,radis,27046.0,0.0,0.0,0.0,1.0,1.0,CO,CO_4.3_5.5,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007035970687866211, 'calc_lineshift': 0.0007431507110595703, 'calc_hwhm': 0.008655071258544922, 'init_vectors': 0.0954277515411377, 'voigt_broadening': 2.3782670497894287, 'init_vectors_apply': 0.05454611778259277, 'get_matching_line': 0.0015795230865478516, 'aggregate__center_lines': 0.31197595596313477, 'aggregate_wing_lines': 0.006163835525512695, 'calc_line_broadening': 2.8620989322662354, 'calc_other_spectral_quan': 0.004259347915649414, 'spectrum_calc_before_obj': 2.887678623199463}",0.0,0.9.29,boltzmann,1.0,X,1.0,27046.0,boltzmann,0.01,0.01,2324.9473752583617,2329.9473752583617,1817.6861883520196,1812.6861883520196,cm-1,0.005999999999999922,57476.0
20210629_Tvib300K_Trot300K_4.spec,300.0,296.0,300.0,300.0,10.0,voigt,3.45,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1624920631.6493928,radis,27046.0,0.0,0.0,0.0,1.0,1.0,CO,CO_4.3_5.5,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007089853286743164, 'calc_lineshift': 0.0008368492126464844, 'calc_hwhm': 0.009057998657226562, 'init_vectors': 0.11167025566101074, 'voigt_broadening': 2.8720130920410156, 'init_vectors_apply': 0.0643770694732666, 'get_matching_line': 0.0014424324035644531, 'aggregate__center_lines': 0.34934544563293457, 'aggregate_wing_lines': 0.006439924240112305, 'calc_line_broadening': 3.421480655670166, 'calc_other_spectral_quan': 0.005499124526977539, 'spectrum_calc_before_obj': 3.4491801261901855}",0.0,0.9.29,boltzmann,1.0,X,1.0,27046.0,boltzmann,0.01,0.01,2324.9473752583617,2329.9473752583617,1817.6861883520196,1812.6861883520196,cm-1,0.004999999999999921,57476.0
20210629_Tvib300K_Trot300K_5.spec,300.0,296.0,300.0,300.0,10.0,voigt,4.29,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1624920637.2727315,radis,27046.0,0.0,0.0,0.0,1.0,1.0,CO,CO_4.3_5.5,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007152557373046875, 'calc_lineshift': 0.0008389949798583984, 'calc_hwhm': 0.00933527946472168, 'init_vectors': 0.14606547355651855, 'voigt_broadening': 3.6126978397369385, 'init_vectors_apply': 0.08383584022521973, 'get_matching_line': 0.0017502307891845703, 'aggregate__center_lines': 0.3897273540496826, 'aggregate_wing_lines': 0.00719904899597168, 'calc_line_broadening': 4.260282754898071, 'calc_other_spectral_quan': 0.005345344543457031, 'spectrum_calc_before_obj': 4.2898430824279785}",0.0,0.9.29,boltzmann,1.0,X,1.0,27046.0,boltzmann,0.01,0.01,2324.9473752583617,2329.9473752583617,1817.6861883520196,1812.6861883520196,cm-1,0.00399999999999992,57476.0
20210629_Tvib300K_Trot300K_6.spec,300.0,296.0,300.0,300.0,10.0,voigt,5.56,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1624920644.5000985,radis,27046.0,0.0,0.0,0.0,1.0,1.0,CO,CO_4.3_5.5,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007369279861450195, 'calc_lineshift': 0.0007288455963134766, 'calc_hwhm': 0.009339570999145508, 'init_vectors': 0.1861097812652588, 'voigt_broadening': 4.731745481491089, 'init_vectors_apply': 0.10622572898864746, 'get_matching_line': 0.0018298625946044922, 'aggregate__center_lines': 0.47211742401123047, 'aggregate_wing_lines': 0.008997201919555664, 'calc_line_broadening': 5.531346082687378, 'calc_other_spectral_quan': 0.00729680061340332, 'spectrum_calc_before_obj': 5.563994646072388}",0.0,0.9.29,boltzmann,1.0,X,1.0,27046.0,boltzmann,0.01,0.01,2324.9473752583617,2329.9473752583617,1817.6861883520196,1812.6861883520196,cm-1,0.0029999999999999194,57476.0
20210629_Tvib300K_Trot300K_7.spec,300.0,296.0,300.0,300.0,10.0,voigt,0.14,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/NO-08_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1624921486.4378695,radis,11147.0,0.0,0.0,0.0,1.0,1.0,NO,NO_100_150,hapi,1.0,11000.0,"{'scaled_eq_lineshift': 0.006747007369995117, 'calc_lineshift': 0.0010561943054199219, 'calc_hwhm': 0.00890040397644043, 'init_vectors': 0.003292083740234375, 'voigt_broadening': 0.05411195755004883, 'init_vectors_apply': 0.0009913444519042969, 'get_matching_line': 0.0003223419189453125, 'aggregate__center_lines': 0.051732540130615234, 'aggregate_wing_lines': 0.008771896362304688, 'calc_line_broadening': 0.12019133567810059, 'calc_other_spectral_quan': 0.0008687973022460938, 'spectrum_calc_before_obj': 0.13999462127685547}",0.0,0.9.29,boltzmann,1.0,X,1.0,11147.0,boltzmann,0.01,0.01,150.0,155.0,100.0,95.0,cm-1,0.1,601.0
20210629_Tvib300K_Trot300K_8.spec,300.0,296.0,300.0,300.0,10.0,voigt,0.15,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/NO-08_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1624921486.6979158,radis,11147.0,0.0,0.0,0.0,1.0,1.0,NO,NO_100_150,hapi,1.0,11000.0,"{'scaled_eq_lineshift': 0.0068857669830322266, 'calc_lineshift': 0.0008809566497802734, 'calc_hwhm': 0.008666753768920898, 'init_vectors': 0.004180431365966797, 'voigt_broadening': 0.05779910087585449, 'init_vectors_apply': 0.0011317729949951172, 'get_matching_line': 0.0003695487976074219, 'aggregate__center_lines': 0.054360151290893555, 'aggregate_wing_lines': 0.008900165557861328, 'calc_line_broadening': 0.12769246101379395, 'calc_other_spectral_quan': 0.0007693767547607422, 'spectrum_calc_before_obj': 0.14819598197937012}",0.0,0.9.29,boltzmann,1.0,X,1.0,11147.0,boltzmann,0.01,0.01,150.0,155.0,100.0,95.0,cm-1,0.099,601.0
20210629_Tvib300K_Trot300K_9.spec,300.0,296.0,300.0,300.0,10.0,voigt,0.15,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/NO-08_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3",1624921486.9139543,radis,11147.0,0.0,0.0,0.0,1.0,1.0,NO,NO_100_150,hapi,1.0,11000.0,"{'scaled_eq_lineshift': 0.005354166030883789, 'calc_lineshift': 0.0008432865142822266, 'calc_hwhm': 0.009053945541381836, 'init_vectors': 0.0031290054321289062, 'voigt_broadening': 0.057910919189453125, 'init_vectors_apply': 0.0010118484497070312, 'get_matching_line': 0.0003426074981689453, 'aggregate__center_lines': 0.05475664138793945, 'aggregate_wing_lines': 0.009332895278930664, 'calc_line_broadening': 0.12756013870239258, 'calc_other_spectral_quan': 0.000926971435546875, 'spectrum_calc_before_obj': 0.14599061012268066}",0.0,0.9.29,boltzmann,1.0,X,1.0,11147.0,boltzmann,0.01,0.01,150.0,155.0,100.0,95.0,cm-1,0.098,601.0
